Schluessel,Straftat,Gemeindeschluessel,Stadt,Faelle,HZ,Versuche,Versuche_Prozent,Schusswaffe_gedroht,Schusswaffe_geschossen,aufgeklaert,Aufklaerungsquote,Tatverdaechtige,Tatverdaechtige_maennlich,Tatverdaechtige_weiblich,Nichtdeutsche,Nichtdeutsche_Prozent,Jahr
------,Straftaten insgesamt,5334002,Aachen,"25,456","10,228","1,740",6.8,20,16,"14,018",55.1,"10,072","7,797","2,275","5,140",51.0,2021
------,Straftaten insgesamt,9761000,Augsburg,"18,219","6,159",959,5.3,3,5,"13,376",73.4,"9,256","6,978","2,278","3,925",42.4,2021
------,Straftaten insgesamt,5378004,Bergisch Gladbach,"5,888","5,274",475,8.1,10,8,"3,201",54.4,"2,441","1,811",630,671,27.5,2021
------,Straftaten insgesamt,11000000,Berlin,"482,127","13,158","36,270",7.5,299,262,"218,621",45.3,"126,368","94,562","31,806","53,952",42.7,2021
------,Straftaten insgesamt,5711000,Bielefeld,"20,280","6,081","1,396",6.9,44,23,"11,953",58.9,"8,593","6,619","1,974","3,252",37.8,2021
------,Straftaten insgesamt,5911000,Bochum,"26,051","7,148","1,885",7.2,18,21,"14,287",54.8,"10,094","7,681","2,413","3,211",31.8,2021
------,Straftaten insgesamt,5314000,Bonn,"27,706","8,381","2,297",8.3,31,10,"13,113",47.3,"9,559","7,278","2,281","3,245",33.9,2021
------,Straftaten insgesamt,5512000,Bottrop,"7,081","6,032",539,7.6,14,14,"3,439",48.6,"2,829","2,073",756,733,25.9,2021
------,Straftaten insgesamt,3101000,Braunschweig,"17,355","6,982","1,012",5.8,18,19,"11,360",65.5,"7,929","6,033","1,896","2,212",27.9,2021
------,Straftaten insgesamt,4011000,Bremen,"63,146","11,145","6,660",10.5,59,30,"30,592",48.4,"18,755","14,587","4,168","8,078",43.1,2021
------,Straftaten insgesamt,4012000,Bremerhaven,"12,355","10,880","1,344",10.9,18,19,"6,182",50.0,"3,924","3,012",912,"1,253",31.9,2021
------,Straftaten insgesamt,14511000,Chemnitz,"20,173","8,254","1,683",8.3,17,9,"13,560",67.2,"8,080","6,020","2,060","3,200",39.6,2021
------,Straftaten insgesamt,12052000,Cottbus,"8,477","8,589",614,7.2,2,5,"4,928",58.1,"3,120","2,310",810,650,20.8,2021
------,Straftaten insgesamt,6411000,Darmstadt,"9,160","5,755",636,6.9,9,2,"5,716",62.4,"4,127","3,228",899,"1,636",39.6,2021
------,Straftaten insgesamt,5913000,Dortmund,"55,249","9,401","4,245",7.7,56,37,"31,816",57.6,"21,497","16,149","5,348","9,352",43.5,2021
------,Straftaten insgesamt,14612000,Dresden,"40,988","7,369","3,208",7.8,24,20,"24,304",59.3,"14,550","10,986","3,564","4,538",31.2,2021
------,Straftaten insgesamt,5112000,Duisburg,"43,311","8,734","3,175",7.3,53,62,"24,695",57.0,"17,629","13,180","4,449","7,169",40.7,2021
------,Straftaten insgesamt,5111000,Düsseldorf,"57,336","9,240","4,103",7.2,31,20,"27,882",48.6,"21,837","16,705","5,132","10,206",46.7,2021
------,Straftaten insgesamt,16051000,Erfurt,"20,406","9,549","1,912",9.4,2,12,"12,795",62.7,"7,667","5,710","1,957","2,196",28.6,2021
------,Straftaten insgesamt,9562000,Erlangen,"5,286","4,703",276,5.2,5,1,"3,541",67.0,"2,632","2,036",596,"1,089",41.4,2021
------,Straftaten insgesamt,5113000,Essen,"46,440","7,974","4,373",9.4,53,18,"22,180",47.8,"16,432","12,364","4,068","6,092",37.1,2021
------,Straftaten insgesamt,6412000,Frankfurt am Main,"96,449","12,622","6,003",6.2,29,32,"63,160",65.5,"41,375","29,936","11,439","27,126",65.6,2021
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,"21,978","9,517","1,066",4.9,7,5,"14,277",65.0,"8,742","6,680","2,062","3,693",42.2,2021
------,Straftaten insgesamt,9563000,Fürth,"5,050","3,938",257,5.1,9,3,"3,661",72.5,"2,822","2,071",751,"1,068",37.8,2021
------,Straftaten insgesamt,5513000,Gelsenkirchen,"20,081","7,750","1,603",8.0,19,13,"10,750",53.5,"8,555","6,389","2,166","3,302",38.6,2021
------,Straftaten insgesamt,3159016,Göttingen,"11,628","9,952",880,7.6,6,4,"7,277",62.6,"4,549","3,428","1,121","1,469",32.3,2021
------,Straftaten insgesamt,5754008,Gütersloh,"5,964","5,925",360,6.0,10,5,"3,721",62.4,"2,820","2,205",615,984,34.9,2021
------,Straftaten insgesamt,5914000,Hagen,"14,484","7,676",964,6.7,19,7,"8,566",59.1,"6,514","4,983","1,531","2,614",40.1,2021
------,Straftaten insgesamt,15002000,Halle (Saale),"27,537","11,577","3,389",12.3,22,14,"14,069",51.1,"8,458","6,388","2,070","2,247",26.6,2021
------,Straftaten insgesamt,2000000,Hamburg,"182,071","9,829","13,872",7.6,106,96,"88,271",48.5,"58,544","45,156","13,388","25,778",44.0,2021
------,Straftaten insgesamt,5915000,Hamm,"14,687","8,207","1,137",7.7,17,10,"8,226",56.0,"5,615","4,346","1,269","2,064",36.8,2021
------,Straftaten insgesamt,3241001,Hannover,"63,578","11,905","3,907",6.1,48,43,"39,847",62.7,"24,342","18,680","5,662","10,070",41.4,2021
------,Straftaten insgesamt,8221000,Heidelberg,"11,119","7,004",717,6.4,0,1,"7,025",63.2,"5,547","4,295","1,252","2,336",42.1,2021
------,Straftaten insgesamt,8121000,Heilbronn,"6,997","5,533",436,6.2,2,6,"4,688",67.0,"3,690","2,872",818,"1,701",46.1,2021
------,Straftaten insgesamt,5916000,Herne,"12,190","7,767",912,7.5,8,6,"6,607",54.2,"4,728","3,563","1,165","1,573",33.3,2021
------,Straftaten insgesamt,3254021,Hildesheim,"8,308","8,221",627,7.5,16,7,"5,080",61.1,"3,466","2,562",904,"1,033",29.8,2021
------,Straftaten insgesamt,9161000,Ingolstadt,"8,099","5,914",556,6.9,2,7,"5,706",70.5,"4,214","3,170","1,044","1,691",40.1,2021
------,Straftaten insgesamt,16053000,Jena,"6,620","5,978",418,6.3,0,0,"3,999",60.4,"2,517","1,930",587,554,22.0,2021
------,Straftaten insgesamt,7312000,Kaiserslautern,"10,441","10,476",555,5.3,3,7,"7,299",69.9,"4,440","3,258","1,182","1,163",26.2,2021
------,Straftaten insgesamt,8212000,Karlsruhe,"23,605","7,653","1,300",5.5,7,10,"16,073",68.1,"10,715","8,191","2,524","4,888",45.6,2021
------,Straftaten insgesamt,6611000,Kassel,"16,848","8,380","1,170",6.9,13,6,"10,093",59.9,"6,746","5,275","1,471","2,581",38.3,2021
------,Straftaten insgesamt,1002000,Kiel,"20,567","8,340","1,448",7.0,15,9,"10,521",51.2,"6,851","5,269","1,582","1,896",27.7,2021
------,Straftaten insgesamt,7111000,Koblenz,"10,567","9,319",458,4.3,8,2,"5,246",49.6,"4,218","3,191","1,027","1,392",33.0,2021
------,Straftaten insgesamt,5315000,Köln,"109,956","10,148","8,892",8.1,122,51,"56,094",51.0,"38,667","29,095","9,572","16,525",42.7,2021
------,Straftaten insgesamt,5114000,Krefeld,"20,435","9,008","1,393",6.8,21,13,"11,312",55.4,"7,696","5,641","2,055","2,752",35.8,2021
------,Straftaten insgesamt,14713000,Leipzig,"64,004","10,712","4,584",7.2,40,26,"31,209",48.8,"18,890","14,070","4,820","6,300",33.4,2021
------,Straftaten insgesamt,5316000,Leverkusen,"9,579","5,844",905,9.4,12,5,"4,913",51.3,"3,772","2,796",976,"1,208",32.0,2021
------,Straftaten insgesamt,1003000,Lübeck,"19,907","9,223","1,383",6.9,16,14,"11,370",57.1,"7,524","5,668","1,856","2,014",26.8,2021
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,"13,945","8,081",952,6.8,13,14,"9,218",66.1,"6,520","4,841","1,679","2,756",42.3,2021
------,Straftaten insgesamt,15003000,Magdeburg,"23,286","9,876","1,771",7.6,20,16,"13,651",58.6,"8,996","6,698","2,298","3,159",35.1,2021
------,Straftaten insgesamt,7315000,Mainz,"14,553","6,703",821,5.6,10,6,"9,105",62.6,"6,185","4,723","1,462","2,323",37.6,2021
------,Straftaten insgesamt,8222000,Mannheim,"23,420","7,562","1,455",6.2,14,7,"13,754",58.7,"10,932","8,423","2,509","5,076",46.4,2021
------,Straftaten insgesamt,5170024,Moers,"5,425","5,242",405,7.5,6,4,"2,654",48.9,"2,173","1,657",516,594,27.3,2021
------,Straftaten insgesamt,5116000,Mönchengladbach,"22,432","8,639","1,639",7.3,23,10,"13,789",61.5,"8,601","6,452","2,149","2,900",33.7,2021
------,Straftaten insgesamt,5117000,Mülheim an der Ruhr,"10,506","6,147",965,9.2,14,9,"4,983",47.4,"4,026","2,976","1,050","1,413",35.1,2021
------,Straftaten insgesamt,9162000,München,"80,273","5,394","3,865",4.8,20,15,"53,564",66.7,"39,098","28,985","10,113","20,348",52.0,2021
------,Straftaten insgesamt,5515000,Münster,"26,313","8,316","1,848",7.0,18,11,"11,632",44.2,"7,932","6,186","1,746","2,785",35.1,2021
------,Straftaten insgesamt,5162024,Neuss,"9,991","6,525",669,6.7,16,16,"5,785",57.9,"4,517","3,436","1,081","1,462",32.4,2021
------,Straftaten insgesamt,9564000,Nürnberg,"33,952","6,586","2,193",6.5,29,12,"23,534",69.3,"15,872","11,851","4,021","7,304",46.0,2021
------,Straftaten insgesamt,5119000,Oberhausen,"14,088","6,722",812,5.8,15,10,"8,701",61.8,"6,502","4,825","1,677","2,221",34.2,2021
------,Straftaten insgesamt,6413000,Offenbach am Main,"8,972","6,855",485,5.4,10,6,"6,136",68.4,"4,777","3,696","1,081","2,539",53.2,2021
------,Straftaten insgesamt,3403000,Oldenburg (Oldenburg),"11,517","6,790",672,5.8,15,13,"7,075",61.4,"4,816","3,623","1,193","1,248",25.9,2021
------,Straftaten insgesamt,3404000,Osnabrück,"14,448","8,798","1,282",8.9,15,9,"8,429",58.3,"5,999","4,602","1,397","1,981",33.0,2021
------,Straftaten insgesamt,5774032,Paderborn,"11,246","7,405",631,5.6,20,4,"7,090",63.0,"4,492","3,330","1,162","1,157",25.8,2021
------,Straftaten insgesamt,8231000,Pforzheim,"8,054","6,391",500,6.2,5,0,"5,359",66.5,"3,984","3,044",940,"1,813",45.5,2021
------,Straftaten insgesamt,12054000,Potsdam,"12,877","7,071",813,6.3,2,6,"5,895",45.8,"4,305","3,279","1,026","1,254",29.1,2021
------,Straftaten insgesamt,5562032,Recklinghausen,"9,321","8,420",651,7.0,12,8,"5,513",59.1,"3,797","2,781","1,016","1,152",30.3,2021
------,Straftaten insgesamt,9362000,Regensburg,"11,012","7,232",536,4.9,3,3,"7,641",69.4,"5,568","4,073","1,495","2,452",44.0,2021
------,Straftaten insgesamt,5120000,Remscheid,"6,951","6,233",497,7.2,5,6,"3,951",56.8,"3,024","2,223",801,970,32.1,2021
------,Straftaten insgesamt,8415061,Reutlingen,"6,027","5,194",451,7.5,3,2,"3,777",62.7,"2,722","2,054",668,"1,029",37.8,2021
------,Straftaten insgesamt,13003000,Rostock,"18,781","8,984",936,5.0,1,10,"11,675",62.2,"7,689","5,815","1,874","1,950",25.4,2021
------,Straftaten insgesamt,10041100,Saarbrücken,"17,966","10,017","1,117",6.2,14,10,"11,017",61.3,"7,784","5,803","1,981","3,061",39.3,2021
------,Straftaten insgesamt,3102000,Salzgitter,"5,878","5,659",371,6.3,13,9,"3,882",66.0,"3,039","2,258",781,"1,019",33.5,2021
------,Straftaten insgesamt,13004000,Schwerin,"8,924","9,334",421,4.7,1,1,"5,921",66.3,"3,710","2,822",888,963,26.0,2021
------,Straftaten insgesamt,5970040,Siegen,"7,333","7,193",458,6.2,6,8,"4,723",64.4,"3,392","2,603",789,"1,089",32.1,2021
------,Straftaten insgesamt,5122000,Solingen,"10,080","6,332",729,7.2,14,9,"5,287",52.5,"4,133","3,059","1,074","1,356",32.8,2021
------,Straftaten insgesamt,8111000,Stuttgart,"42,428","6,731","2,482",5.8,17,16,"28,456",67.1,"20,087","15,585","4,502","9,567",47.6,2021
------,Straftaten insgesamt,7211000,Trier,"10,161","9,181",431,4.2,3,1,"7,179",70.7,"5,316","3,913","1,403","2,776",52.2,2021
------,Straftaten insgesamt,8421000,Ulm,"8,120","6,424",326,4.0,5,6,"5,521",68.0,"4,064","3,030","1,034","1,827",45.0,2021
------,Straftaten insgesamt,6414000,Wiesbaden,"18,882","6,777","1,052",5.6,10,22,"12,051",63.8,"8,418","6,252","2,166","3,202",38.0,2021
------,Straftaten insgesamt,3103000,Wolfsburg,"7,839","6,330",500,6.4,7,6,"4,746",60.5,"3,387","2,582",805,"1,192",35.2,2021
------,Straftaten insgesamt,5124000,Wuppertal,"27,753","7,818","1,971",7.1,20,13,"14,459",52.1,"11,333","8,489","2,844","4,397",38.8,2021
------,Straftaten insgesamt,9663000,Würzburg,"7,873","6,201",350,4.4,4,1,"5,743",72.9,"4,092","3,227",865,"1,707",41.7,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5334002,Aachen,39,16,4,10.3,0,0,28,71.8,28,28,0,14,50.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",9761000,Augsburg,29,10,1,3.4,0,0,23,79.3,23,23,0,7,30.4,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5378004,Bergisch Gladbach,6,5,1,16.7,0,0,5,83.3,4,4,0,2,50.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",11000000,Berlin,962,26,86,8.9,1,0,675,70.2,694,677,17,310,44.7,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5711000,Bielefeld,57,17,7,12.3,0,0,46,80.7,48,48,0,24,50.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5911000,Bochum,41,11,5,12.2,0,0,36,87.8,37,37,0,12,32.4,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5314000,Bonn,58,18,4,6.9,0,0,46,79.3,52,51,1,14,26.9,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5512000,Bottrop,12,10,0,0.0,0,0,11,91.7,13,13,0,5,38.5,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",3101000,Braunschweig,41,16,2,4.9,0,0,39,95.1,39,37,2,10,25.6,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",4011000,Bremen,128,23,7,5.5,0,0,102,79.7,97,97,0,44,45.4,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",4012000,Bremerhaven,36,32,3,8.3,0,0,35,97.2,33,32,1,12,36.4,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",14511000,Chemnitz,28,11,1,3.6,0,0,23,82.1,23,23,0,9,39.1,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",12052000,Cottbus,9,9,1,11.1,0,0,9,100.0,9,9,0,0,0.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",6411000,Darmstadt,25,16,6,24.0,0,0,23,92.0,23,23,0,17,73.9,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5913000,Dortmund,124,21,12,9.7,0,0,94,75.8,95,95,0,39,41.1,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",14612000,Dresden,44,8,2,4.5,0,0,39,88.6,36,35,1,11,30.6,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5112000,Duisburg,61,12,5,8.2,2,0,50,82.0,51,50,1,18,35.3,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5111000,Düsseldorf,113,18,10,8.8,1,0,88,77.9,92,91,1,37,40.2,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",16051000,Erfurt,11,5,1,9.1,0,0,10,90.9,11,10,1,6,54.5,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",9562000,Erlangen,20,18,1,5.0,0,0,21,105.0,20,20,0,10,50.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5113000,Essen,117,20,12,10.3,0,0,97,82.9,101,101,0,35,34.7,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",6412000,Frankfurt am Main,150,20,7,4.7,0,0,110,73.3,107,107,0,53,49.5,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",8311000,Freiburg im Breisgau,21,9,1,4.8,0,0,20,95.2,20,19,1,9,45.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",9563000,Fürth,8,6,1,12.5,0,0,8,100.0,9,9,0,7,77.8,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5513000,Gelsenkirchen,45,17,3,6.7,0,0,40,88.9,44,42,2,19,43.2,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",3159016,Göttingen,26,22,7,26.9,0,0,20,76.9,24,24,0,16,66.7,2021
