Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %;
------;Straftaten insgesamt;5334002;Aachen;33239;13660;3046;9;14;16;16662;50;12312;9663;2649;6529;53;0
------;Straftaten insgesamt;9761000;Augsburg;25659;9128;1406;6;14;8;18677;73;13699;10498;3201;7038;51;0
------;Straftaten insgesamt;5378004;Bergisch Gladbach;6794;6193;723;11;4;0;3024;45;2604;1959;645;791;30;0
------;Straftaten insgesamt;11000000;Berlin;569550;16414;44953;8;394;253;249973;44;150434;110643;39791;60125;40;0
------;Straftaten insgesamt;5711000;Bielefeld;28029;8499;2256;8;18;5;16021;57;11294;8742;2552;4681;41;0
------;Straftaten insgesamt;5911000;Bochum;38044;10513;4064;11;15;11;19379;51;12561;9599;2962;4085;33;0
------;Straftaten insgesamt;5314000;Bonn;36022;11474;3137;9;23;8;16766;47;11816;8828;2988;4145;35;0
------;Straftaten insgesamt;5512000;Bottrop;8836;7616;818;9;4;13;4359;49;3251;2449;802;887;27;0
------;Straftaten insgesamt;3101000;Braunschweig;25497;10260;1676;7;24;12;14932;59;11220;8854;2366;4071;36;0
------;Straftaten insgesamt;4011000;Bremen;76978;13951;7353;10;78;46;36314;47;23239;18028;5211;9561;41;0
------;Straftaten insgesamt;4012000;Bremerhaven;14091;12796;1366;10;26;16;7108;50;4687;3572;1115;1306;28;0
------;Straftaten insgesamt;14511000;Chemnitz;27791;11412;1894;7;18;20;17966;65;12501;9126;3375;6697;54;0
------;Straftaten insgesamt;6411000;Darmstadt;11827;7787;599;5;10;2;7270;62;5619;4234;1385;2318;41;0
------;Straftaten insgesamt;5913000;Dortmund;83586;14399;8718;10;29;24;42491;51;28193;22075;6118;12934;46;0
------;Straftaten insgesamt;14612000;Dresden;56555;10545;5108;9;32;19;29804;53;17532;12939;4593;4093;23;0
------;Straftaten insgesamt;5112000;Duisburg;55604;11454;4993;9;32;40;30706;55;19461;14628;4833;7734;40;0
------;Straftaten insgesamt;5111000;Düsseldorf;84260;13938;6700;8;26;14;36426;43;29008;21860;7148;15634;54;0
------;Straftaten insgesamt;16051000;Erfurt;21005;10186;1109;5;8;5;13171;63;8844;6305;2539;1492;17;0
------;Straftaten insgesamt;9562000;Erlangen;6420;6033;453;7;11;5;4034;63;3065;2339;726;1168;38;0
------;Straftaten insgesamt;5113000;Essen;66407;11574;5741;9;37;20;34343;52;23214;17197;6017;8861;38;0
------;Straftaten insgesamt;6412000;Frankfurt am Main;118766;16550;8344;7;80;19;72412;61;52505;38707;13798;35838;68;0
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;29545;13296;1795;6;1;3;17810;60;11815;9081;2734;5163;44;0
------;Straftaten insgesamt;9563000;Fürth;6035;4966;362;6;5;6;4107;68;3317;2528;789;1317;40;0
------;Straftaten insgesamt;5513000;Gelsenkirchen;26428;10257;3063;12;9;14;12803;48;9909;7207;2702;3713;38;0
------;Straftaten insgesamt;3152012;Göttingen;13003;11051;972;8;8;5;7134;55;5060;3787;1273;1499;30;0
------;Straftaten insgesamt;5914000;Hagen;17126;9172;1454;9;11;10;9780;57;7301;5567;1734;3014;41;0
------;Straftaten insgesamt;15002000;Halle (Saale);32885;14146;4026;12;22;23;16645;51;10364;7656;2708;2970;29;0
------;Straftaten insgesamt;2000000;Hamburg;243313;13803;19072;8;346;156;106510;44;73592;56927;16665;33274;45;0
------;Straftaten insgesamt;5915000;Hamm;15204;8610;1250;8;8;8;7765;51;6029;4663;1366;2326;39;0
------;Straftaten insgesamt;3241001;Hannover;84126;16066;6251;7;75;39;51709;62;31722;23963;7759;13434;42;0
------;Straftaten insgesamt;8221000;Heidelberg;15194;9821;799;5;1;0;8461;56;6474;4882;1592;3010;47;0
------;Straftaten insgesamt;8121000;Heilbronn;9102;7595;543;6;7;9;5424;60;4619;3451;1168;1973;43;0
------;Straftaten insgesamt;5916000;Herne;15579;10076;1768;11;9;4;7478;48;5156;3859;1297;1757;34;0
------;Straftaten insgesamt;9161000;Ingolstadt;10687;8158;641;6;3;2;7087;66;5077;3895;1182;2023;40;0
------;Straftaten insgesamt;16053000;Jena;7046;6512;354;5;5;7;4228;60;3086;2359;727;506;16;0
------;Straftaten insgesamt;8212000;Karlsruhe;33323;11106;2250;7;7;1;18945;57;14291;11285;3006;7762;54;0
------;Straftaten insgesamt;6611000;Kassel;20931;10748;1829;9;21;29;11531;55;8221;6236;1985;3103;38;0
------;Straftaten insgesamt;1002000;Kiel;26078;10725;2196;8;36;13;12221;47;8798;6644;2154;2253;26;0
------;Straftaten insgesamt;7111000;Koblenz;13758;12346;775;6;9;17;6763;49;5331;4026;1305;1572;30;0
------;Straftaten insgesamt;5315000;Köln;155510;14857;14369;9;80;32;66913;43;51513;38925;12588;23872;46;0
------;Straftaten insgesamt;5114000;Krefeld;22965;10321;1830;8;9;17;12664;55;9486;6965;2521;3014;32;0
------;Straftaten insgesamt;14713000;Leipzig;73614;13520;6163;8;43;18;33831;46;20157;14875;5282;4392;22;0
------;Straftaten insgesamt;5316000;Leverkusen;13958;8641;1594;11;14;8;6508;47;5573;4318;1255;1918;34;0
------;Straftaten insgesamt;1003000;Lübeck;22881;10671;1714;8;19;15;11764;51;8202;6074;2128;2058;25;0
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;17655;10776;1282;7;15;12;10643;60;7967;5734;2233;3073;39;0
------;Straftaten insgesamt;15003000;Magdeburg;28440;12242;2386;8;12;10;14784;52;8830;6589;2241;1439;16;0
------;Straftaten insgesamt;7315000;Mainz;20810;10054;1398;7;13;11;12702;61;8503;6526;1977;3104;37;0
------;Straftaten insgesamt;8222000;Mannheim;34943;11654;2082;6;5;4;19806;57;15193;11479;3714;7658;50;0
------;Straftaten insgesamt;5170024;Moers;8260;8025;1009;12;1;1;4081;49;2848;2122;726;796;28;0
------;Straftaten insgesamt;5116000;Mönchengladbach;23515;9155;1779;8;14;8;12106;52;8773;6494;2279;2752;31;0
------;Straftaten insgesamt;5117000;Mülheim an der Ruhr;14518;8688;1440;10;9;1;7802;54;5537;4078;1459;1854;34;0
------;Straftaten insgesamt;9162000;München;133672;9350;5764;4;48;29;97997;73;83184;65499;17685;60468;73;0
------;Straftaten insgesamt;5515000;Münster;29833;9873;2119;7;11;12;12862;43;9680;7517;2163;3550;37;0
------;Straftaten insgesamt;5162024;Neuss;13770;9021;1107;8;8;1;7419;54;5811;4492;1319;1956;34;0
------;Straftaten insgesamt;9564000;Nürnberg;48359;9651;3545;7;30;66;31205;65;21826;16547;5279;10506;48;0
------;Straftaten insgesamt;5119000;Oberhausen;18936;9048;1445;8;6;16;10281;54;7923;5808;2115;2383;30;0
------;Straftaten insgesamt;6413000;Offenbach am Main;12849;10620;927;7;12;8;8296;65;6502;5011;1491;3299;51;0
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);14598;9072;872;6;13;7;7899;54;5606;4245;1361;1443;26;0
------;Straftaten insgesamt;3404000;Osnabrück;17756;11317;1089;6;11;13;10309;58;7355;5722;1633;2371;32;0
------;Straftaten insgesamt;5774032;Paderborn;12471;8590;959;8;2;10;7075;57;5200;3954;1246;1707;33;0
