Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;5334002;Aachen;31,798;12,932;3,175;10;12;19;15,437;48.5;11,410;8,965;2,445;5,469;47.9
------;Straftaten insgesamt;9761000;Augsburg;22,876;7,988;1,413;6.2;19;18;15,988;69.9;11,186;8,361;2,825;4,699;42
------;Straftaten insgesamt;5378004;Bergisch Gladbach;6,851;6,152;607;8.9;5;2;3,336;48.7;2,691;2,053;638;810;30.1
------;Straftaten insgesamt;11000000;Berlin;568,860;16,161;45,444;8;323;272;239,130;42;148,042;109,319;38,723;66,275;44.8
------;Straftaten insgesamt;5711000;Bielefeld;28,494;8,554;2,052;7.2;25;14;16,564;58.1;11,643;9,176;2,467;5,138;44.1
------;Straftaten insgesamt;5911000;Bochum;35,357;9,694;3,033;8.6;26;16;18,893;53.4;12,529;9,629;2,900;4,063;32.4
------;Straftaten insgesamt;5314000;Bonn;35,067;10,999;4,102;11.7;17;10;17,171;49;11,300;8,713;2,587;4,133;36.6
------;Straftaten insgesamt;5512000;Bottrop;8,290;7,077;800;9.7;7;14;4,048;48.8;3,211;2,446;765;996;31
------;Straftaten insgesamt;3101000;Braunschweig;23,902;9,509;1,502;6.3;18;17;14,162;59.3;9,791;7,654;2,137;3,326;34
------;Straftaten insgesamt;4011000;Bremen;78,465;14,075;8,090;10.3;68;38;37,525;47.8;23,423;18,281;5,142;10,441;44.6
------;Straftaten insgesamt;4012000;Bremerhaven;13,259;11,628;1,321;10;42;29;6,844;51.6;5,216;3,712;1,504;2,185;41.9
------;Straftaten insgesamt;14511000;Chemnitz;27,236;10,954;2,272;8.3;20;37;16,699;61.3;10,961;8,083;2,878;5,676;51.8
------;Straftaten insgesamt;6411000;Darmstadt;11,681;7,519;731;6.3;2;5;7,098;60.8;5,305;4,013;1,292;2,322;43.8
------;Straftaten insgesamt;5913000;Dortmund;76,259;13,009;7,196;9.4;41;33;40,381;53;27,534;21,705;5,829;12,390;45
------;Straftaten insgesamt;14612000;Dresden;58,660;10,787;5,278;9;38;45;32,742;55.8;19,094;14,214;4,880;6,518;34.1
------;Straftaten insgesamt;5112000;Duisburg;54,023;10,997;4,796;8.9;41;40;29,751;55.1;19,602;14,812;4,790;8,281;42.2
------;Straftaten insgesamt;5111000;Duesseldorf;77,929;12,730;6,453;8.3;11;10;35,826;46;29,187;22,107;7,080;16,128;55.3
------;Straftaten insgesamt;16051000;Erfurt;23,885;11,367;1,777;7.4;13;10;14,556;60.9;9,444;7,003;2,441;2,339;24.8
------;Straftaten insgesamt;9562000;Erlangen;6,212;5,734;375;6;4;11;3,865;62.2;3,020;2,306;714;1,216;40.3
------;Straftaten insgesamt;5113000;Essen;61,450;10,547;5,058;8.2;46;19;32,893;53.5;22,755;16,955;5,800;9,309;40.9
------;Straftaten insgesamt;6412000;Frankfurt am Main;114,819;15,671;8,351;7.3;71;22;70,032;61;47,948;34,891;13,057;32,161;67.1
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;28,854;12,745;1,745;6;17;13;17,038;59;11,652;8,936;2,716;5,712;49
------;Straftaten insgesamt;9563000;Fuerth;5,985;4,820;405;6.8;6;6;3,943;65.9;3,118;2,325;793;1,252;40.2
------;Straftaten insgesamt;5513000;Gelsenkirchen;24,434;9,384;2,378;9.7;16;21;12,474;51.1;10,094;7,617;2,477;3,918;38.8
------;Straftaten insgesamt;3152012;Goettingen;12,840;10,798;992;7.7;18;3;6,852;53.4;4,943;3,754;1,189;1,462;29.6
------;Straftaten insgesamt;5914000;Hagen;16,427;8,690;1,386;8.4;7;20;9,406;57.3;7,227;5,473;1,754;2,986;41.3
------;Straftaten insgesamt;15002000;Halle (Saale);31,462;13,276;4,175;13.3;7;23;15,093;48;10,101;7,530;2,571;3,508;34.7
------;Straftaten insgesamt;2000000;Hamburg;238,464;13,341;17,991;7.5;295;162;106,850;44.8;74,738;57,945;16,793;35,443;47.4
------;Straftaten insgesamt;5915000;Hamm;15,441;8,607;1,203;7.8;6;2;8,201;53.1;6,647;5,203;1,444;2,752;41.4
------;Straftaten insgesamt;3241001;Hannover;83,890;15,764;5,955;7.1;78;45;53,121;63.3;32,680;24,719;7,961;14,977;45.8
------;Straftaten insgesamt;8221000;Heidelberg;16,128;10,321;794;4.9;0;4;9,299;57.7;6,882;5,314;1,568;3,431;49.9
------;Straftaten insgesamt;8121000;Heilbronn;9,258;7,553;525;5.7;9;5;5,733;61.9;4,286;3,254;1,032;1,944;45.4
------;Straftaten insgesamt;5916000;Herne;14,238;9,136;1,511;10.6;9;5;7,301;51.3;5,282;3,978;1,304;1,860;35.2
------;Straftaten insgesamt;3254021;Hildesheim;10,324;10,155;1,039;10.1;8;11;5,676;55;4,108;3,097;1,011;1,154;28.1
------;Straftaten insgesamt;9161000;Ingolstadt;10,948;8,267;701;6.4;10;11;7,033;64.2;5,065;3,897;1,168;2,052;40.5
------;Straftaten insgesamt;16053000;Jena;7,901;7,214;387;4.9;3;9;4,681;59.2;3,206;2,419;787;536;16.7
------;Straftaten insgesamt;8212000;Karlsruhe;31,821;10,340;1,900;6;6;13;19,166;60.2;13,825;10,893;2,932;7,438;53.8
------;Straftaten insgesamt;6611000;Kassel;19,431;9,814;1,505;7.7;17;25;11,724;60.3;8,245;6,333;1,912;3,348;40.6
------;Straftaten insgesamt;1002000;Kiel;25,908;10,519;1,781;6.9;28;12;12,942;50;9,249;6,897;2,352;3,525;38.1
------;Straftaten insgesamt;7111000;Koblenz;12,989;11,537;743;5.7;14;8;6,724;51.8;5,274;4,057;1,217;1,689;32
------;Straftaten insgesamt;5315000;Koeln;145,821;13,749;12,816;8.8;53;46;69,166;47.4;52,525;39,574;12,951;24,934;47.5
------;Straftaten insgesamt;5114000;Krefeld;22,621;10,047;1,578;7;7;10;12,241;54.1;9,361;6,885;2,476;3,235;34.6
------;Straftaten insgesamt;14713000;Leipzig;88,615;15,811;7,352;8.3;52;46;41,840;47.2;25,750;18,879;6,871;10,343;40.2
------;Straftaten insgesamt;5316000;Leverkusen;13,218;8,085;1,475;11.2;10;3;6,101;46.2;5,087;3,829;1,258;1,838;36.1
