Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl
------;Straftaten insgesamt;5334002;Aachen;26,846;10,783;2,009;7.5;13;17;14,615;54.4;10,696;8,417;2,279;5,451;51
------;Straftaten insgesamt;9761000;Augsburg;20,397;6,877;1,088;5.3;15;6;14,996;73.5;10,049;7,568;2,481;4,133;41.1
------;Straftaten insgesamt;5378004;Bergisch Gladbach;5,720;5,114;423;7.4;7;8;3,149;55.1;2,342;1,712;630;690;29.5
------;Straftaten insgesamt;11000000;Berlin;504,142;13,739;38,721;7.7;306;317;232,659;46.1;136,053;101,355;34,698;59,768;43.9
------;Straftaten insgesamt;5711000;Bielefeld;23,213;6,946;1,389;6;48;15;14,016;60.4;9,516;7,249;2,267;3,638;38.2
------;Straftaten insgesamt;5911000;Bochum;27,669;7,568;1,930;7;34;23;15,028;54.3;10,627;8,020;2,607;3,434;32.3
------;Straftaten insgesamt;5314000;Bonn;27,687;8,398;2,322;8.4;29;11;13,599;49.1;9,606;7,246;2,360;3,314;34.5
------;Straftaten insgesamt;5512000;Bottrop;6,571;5,589;571;8.7;18;16;3,367;51.2;2,677;1,975;702;746;27.9
------;Straftaten insgesamt;3101000;Braunschweig;18,952;7,599;1,122;5.9;24;15;12,444;65.7;8,583;6,618;1,965;2,700;31.5
------;Straftaten insgesamt;4011000;Bremen;66,971;11,800;6,344;9.5;67;25;34,650;51.7;21,941;16,866;5,075;9,300;42.4
------;Straftaten insgesamt;4012000;Bremerhaven;13,306;11,709;1,429;10.7;10;8;6,494;48.8;4,614;3,530;1,084;1,439;31.2
------;Straftaten insgesamt;14511000;Chemnitz;21,347;8,666;1,728;8.1;13;18;14,186;66.5;8,480;6,285;2,195;3,226;38
------;Straftaten insgesamt;6411000;Darmstadt;9,600;6,005;562;5.9;4;4;6,112;63.7;4,509;3,500;1,009;1,889;41.9
