Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
------;Straftaten insgesamt;5334002;Aachen;30,394;12,054.60;2,147;7.1;23;14;17,631;58;12,814;10,065;2,749;7,353;57.4;0
------;Straftaten insgesamt;9761000;Augsburg;22,497;7,473.30;1,137;5.1;15;21;16,806;74.7;11,950;8,910;3,040;6,244;52.3;0
------;Straftaten insgesamt;5378004;Bergisch Gladbach;6,703;5,947.00;625;9.3;7;13;3,498;52.2;2,689;1,978;711;900;33.5;0
------;Straftaten insgesamt;11000000;Berlin;536,697;14,291.90;40,304;7.5;340;364;244,215;45.5;140,619;104,586;36,033;68,532;48.7;0
------;Straftaten insgesamt;5711000;Bielefeld;27,557;8,145.00;1,888;6.9;28;24;15,398;55.9;10,571;7,930;2,641;4,503;42.6;0
------;Straftaten insgesamt;5911000;Bochum;32,017;8,754.00;2,384;7.4;32;22;17,028;53.2;12,415;9,137;3,278;4,866;39.2;0
------;Straftaten insgesamt;5314000;Bonn;33,412;9,930.30;2,495;7.5;28;7;18,556;55.5;12,184;8,894;3,290;4,930;40.5;0
------;Straftaten insgesamt;5512000;Bottrop;8,108;6,864.60;584;7.2;8;8;4,046;49.9;3,099;2,263;836;954;30.8;0
------;Straftaten insgesamt;3101000;Braunschweig;22,421;8,904.10;1,504;6.7;21;24;14,028;62.6;9,153;6,859;2,294;3,222;35.2;0
------;Straftaten insgesamt;4011000;Bremen;81,280;14,274.80;7,326;9;52;35;36,956;45.5;22,451;17,207;5,244;10,709;47.7;0
------;Straftaten insgesamt;4012000;Bremerhaven;14,832;12,845.10;1,214;8.2;24;11;8,722;58.8;5,041;3,776;1,265;1,795;35.6;0
------;Straftaten insgesamt;14511000;Chemnitz;22,358;8,994.90;1,391;6.2;20;12;14,251;63.7;9,518;7,014;2,504;4,525;47.5;0
------;Straftaten insgesamt;6411000;Darmstadt;13,275;8,182.20;878;6.6;14;1;7,732;58.2;5,405;4,057;1,348;2,485;46;0
------;Straftaten insgesamt;5913000;Dortmund;70,241;11,838.70;5,122;7.3;82;39;40,137;57.1;25,759;19,215;6,544;12,085;46.9;0
------;Straftaten insgesamt;14612000;Dresden;51,821;9,199.40;3,766;7.3;41;29;29,349;56.6;19,680;15,113;4,567;9,132;46.4;0
------;Straftaten insgesamt;5112000;Duisburg;47,911;9,540.00;4,367;9.1;45;37;25,000;52.2;18,847;13,897;4,950;8,245;43.7;0
------;Straftaten insgesamt;5111000;Düsseldorf;79,372;12,617.80;5,387;6.8;49;22;39,628;49.9;30,268;22,557;7,711;16,429;54.3;0
------;Straftaten insgesamt;16051000;Erfurt;25,103;11,677.50;2,230;8.9;0;5;15,947;63.5;9,872;7,343;2,529;3,735;37.8;0
------;Straftaten insgesamt;9562000;Erlangen;6,536;5,607.30;383;5.9;12;5;4,307;65.9;3,302;2,459;843;1,444;43.7;0
------;Straftaten insgesamt;5113000;Essen;56,164;9,607.60;4,727;8.4;57;47;28,048;49.9;20,447;15,132;5,315;8,463;41.4;0
------;Straftaten insgesamt;6412000;Frankfurt am Main;114,969;14,871.80;7,001;6.1;43;42;75,373;65.6;53,016;37,845;15,171;38,121;71.9;0
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;26,675;11,296.30;1,306;4.9;6;7;15,444;57.9;10,977;8,420;2,557;6,073;55.3;0
------;Straftaten insgesamt;9563000;Fürth;6,184;4,705.10;330;5.3;6;10;4,246;68.7;3,447;2,522;925;1,469;42.6;0
------;Straftaten insgesamt;5513000;Gelsenkirchen;24,513;9,320.50;2,346;9.6;47;12;13,362;54.5;10,358;7,528;2,830;4,367;42.2;0
------;Straftaten insgesamt;3159016;Göttingen;14,455;12,152.60;866;6;10;7;7,730;53.5;5,159;3,784;1,375;2,034;39.4;0
------;Straftaten insgesamt;5754008;Gütersloh;7,794;7,611.80;577;7.4;5;7;4,600;59;3,176;2,426;750;1,433;45.1;0
------;Straftaten insgesamt;5914000;Hagen;18,028;9,499.30;1,342;7.4;17;23;10,827;60.1;7,770;5,661;2,109;3,381;43.5;0
------;Straftaten insgesamt;15002000;Halle (Saale);30,748;12,701.40;3,176;10.3;14;2;16,609;54;10,156;7,636;2,520;3,588;35.3;0
------;Straftaten insgesamt;2000000;Hamburg;228,454;12,074.00;14,893;6.5;127;101;112,446;49.2;69,840;53,410;16,430;34,692;49.7;0
------;Straftaten insgesamt;5915000;Hamm;18,853;10,424.70;1,334;7.1;16;59;10,976;58.2;7,073;5,431;1,642;3,088;43.7;0
------;Straftaten insgesamt;6435014;Hanau;7,274;7,176.10;346;4.8;11;5;5,182;71.2;4,017;2,977;1,040;2,087;52;0
------;Straftaten insgesamt;3241001;Hannover;76,991;14,125.60;5,118;6.6;78;58;46,403;60.3;29,002;22,409;6,593;13,968;48.2;0
------;Straftaten insgesamt;8221000;Heidelberg;14,015;8,636.70;748;5.3;4;3;8,640;61.6;6,681;5,155;1,526;3,581;53.6;0
------;Straftaten insgesamt;8121000;Heilbronn;10,620;8,275.30;500;4.7;9;7;7,168;67.5;5,336;3,998;1,338;2,669;50;0
------;Straftaten insgesamt;5916000;Herne;14,516;9,224.20;1,106;7.6;14;10;8,247;56.8;5,574;4,150;1,424;2,038;36.6;0
------;Straftaten insgesamt;3254021;Hildesheim;9,593;9,418.00;742;7.7;9;6;5,485;57.2;3,944;2,802;1,142;1,275;32.3;0
------;Straftaten insgesamt;9161000;Ingolstadt;11,186;7,931.70;709;6.3;3;5;8,019;71.7;6,229;4,703;1,526;3,535;56.8;0
------;Straftaten insgesamt;16053000;Jena;8,023;7,215.50;425;5.3;0;2;4,201;52.4;2,627;2,012;615;683;26;0
------;Straftaten insgesamt;7312000;Kaiserslautern;11,301;11,163.90;649;5.7;10;4;7,450;65.9;4,922;3,699;1,223;1,610;32.7;0
------;Straftaten insgesamt;8212000;Karlsruhe;27,403;8,876.70;1,443;5.3;6;10;17,088;62.4;12,457;9,812;2,645;6,709;53.9;0
------;Straftaten insgesamt;6611000;Kassel;24,600;12,046.90;2,833;11.5;16;19;13,587;55.2;8,575;6,554;2,021;3,993;46.6;0
------;Straftaten insgesamt;1002000;Kiel;26,468;10,684.80;1,924;7.3;18;18;13,265;50.1;8,333;6,251;2,082;2,825;33.9;0
------;Straftaten insgesamt;7111000;Koblenz;17,198;14,920.00;545;3.2;5;7;7,243;42.1;5,707;4,355;1,352;2,184;38.3;0
------;Straftaten insgesamt;5315000;Köln;138,279;12,746.60;12,026;8.7;102;54;68,475;49.5;46,925;34,952;11,973;22,792;48.6;0
------;Straftaten insgesamt;5114000;Krefeld;22,297;9,761.10;1,619;7.3;18;12;11,981;53.7;8,405;6,028;2,377;3,315;39.4;0
------;Straftaten insgesamt;14713000;Leipzig;68,377;11,098.50;4,325;6.3;43;21;35,966;52.6;22,532;17,035;5,497;8,980;39.9;0
------;Straftaten insgesamt;5316000;Leverkusen;11,691;7,053.50;1,078;9.2;11;7;5,876;50.3;4,665;3,422;1,243;1,616;34.6;0
------;Straftaten insgesamt;1003000;Lübeck;22,512;10,322.10;1,634;7.3;21;20;13,095;58.2;8,282;6,171;2,111;2,297;27.7;0
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;16,599;9,525.10;1,130;6.8;11;10;10,172;61.3;7,670;5,677;1,993;3,490;45.5;0
------;Straftaten insgesamt;15003000;Magdeburg;32,332;13,507.50;2,167;6.7;32;12;19,456;60.2;13,187;9,989;3,198;6,147;46.6;0
------;Straftaten insgesamt;7315000;Mainz;16,931;7,676.60;872;5.2;7;8;10,413;61.5;7,317;5,513;1,804;3,162;43.2;0
------;Straftaten insgesamt;8222000;Mannheim;30,913;9,796.40;1,326;4.3;18;9;18,369;59.4;14,227;10,760;3,467;7,551;53.1;0
------;Straftaten insgesamt;5170024;Moers;6,713;6,375.90;744;11.1;6;7;3,558;53;2,742;2,089;653;819;29.9;0
------;Straftaten insgesamt;5116000;Mönchengladbach;27,034;10,069.80;2,000;7.4;26;9;15,431;57.1;10,463;7,734;2,729;4,079;39;0
------;Straftaten insgesamt;5117000;Mülheim an der Ruhr;12,885;7,473.70;1,227;9.5;16;8;6,553;50.9;5,094;3,834;1,260;2,003;39.3;0
------;Straftaten insgesamt;9162000;München;96,997;6,413.10;5,226;5.4;52;52;63,661;65.6;47,954;36,081;11,873;27,269;56.9;0
------;Straftaten insgesamt;5515000;Münster;34,829;10,852.00;2,618;7.5;17;10;18,149;52.1;10,779;8,075;2,704;4,227;39.2;0
------;Straftaten insgesamt;5162024;Neuss;13,413;8,701.90;1,021;7.6;10;3;7,470;55.7;5,223;4,027;1,196;1,960;37.5;0
------;Straftaten insgesamt;9564000;Nürnberg;40,838;7,808.00;2,755;6.7;23;35;27,817;68.1;19,605;14,683;4,922;10,104;51.5;0
------;Straftaten insgesamt;5119000;Oberhausen;18,276;8,668.80;1,314;7.2;13;14;9,974;54.6;8,109;5,868;2,241;2,987;36.8;0
------;Straftaten insgesamt;6413000;Offenbach am Main;9,871;7,357.10;492;5;12;15;6,593;66.8;5,330;4,023;1,307;3,091;58;0
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);14,967;8,660.00;844;5.6;11;15;8,729;58.3;5,884;4,306;1,578;1,791;30.4;0
