1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;5334002;Aachen;26,406;10,674;1,910;7.2;37;25;14,561;55.1;11,115;8,654;2,461;5,751;51.7
------;Straftaten insgesamt;9761000;Augsburg;21,404;7,252;1,146;5.4;6;9;15,464;72.2;10,587;8,077;2,510;4,236;40
------;Straftaten insgesamt;5378004;Bergisch Gladbach;5,031;4,493;382;7.6;4;4;2,702;53.7;2,200;1,662;538;681;31
------;Straftaten insgesamt;11000000;Berlin;513,426;14,086;41,505;8.1;342;316;229,532;44.7;136,704;100,677;36,027;61,841;45.2
------;Straftaten insgesamt;5711000;Bielefeld;22,322;6,688;1,448;6.5;28;33;13,719;61.5;9,966;7,562;2,404;4,283;43
------;Straftaten insgesamt;5911000;Bochum;29,764;8,163;1,979;6.6;41;24;17,124;57.5;11,238;8,541;2,697;3,609;32.1
------;Straftaten insgesamt;5314000;Bonn;26,475;8,090;1,855;7;29;15;13,121;49.6;9,753;7,414;2,339;3,358;34.4
------;Straftaten insgesamt;5512000;Bottrop;6,642;5,658;502;7.6;11;24;3,482;52.4;2,788;2,064;724;727;26.1
------;Straftaten insgesamt;3101000;Braunschweig;19,663;7,919;1,238;6.3;25;11;12,797;65.1;8,880;6,755;2,125;2,629;29.6
------;Straftaten insgesamt;4011000;Bremen;65,869;11,569;6,299;9.6;50;30;31,915;48.5;19,853;14,928;4,925;8,254;41.6
------;Straftaten insgesamt;4012000;Bremerhaven;12,020;10,578;958;8;16;13;5,962;49.6;4,224;3,188;1,036;1,328;31.4
------;Straftaten insgesamt;14511000;Chemnitz;22,026;8,909;2,152;9.8;14;20;13,775;62.5;8,589;6,323;2,266;3,379;39.3
------;Straftaten insgesamt;12052000;Cottbus;9,252;9,232;731;7.9;7;4;5,404;58.4;3,302;2,485;817;743;22.5
------;Straftaten insgesamt;6411000;Darmstadt;10,445;6,561;516;4.9;3;2;6,900;66.1;5,126;3,979;1,147;2,089;40.8
------;Straftaten insgesamt;5913000;Dortmund;61,727;10,515;4,638;7.5;64;64;35,952;58.2;24,328;18,526;5,802;9,800;40.3
------;Straftaten insgesamt;14612000;Dresden;46,376;8,361;3,604;7.8;35;27;25,329;54.6;15,449;11,669;3,780;5,083;32.9
------;Straftaten insgesamt;5112000;Duisburg;42,166;8,457;2,940;7;52;52;23,240;55.1;16,875;12,568;4,307;6,798;40.3
------;Straftaten insgesamt;5111000;Düsseldorf;64,525;10,419;4,249;6.6;37;37;32,794;50.8;26,502;19,589;6,913;13,849;52.3
------;Straftaten insgesamt;16051000;Erfurt;20,695;9,684;1,863;9;1;7;12,547;60.6;7,316;5,498;1,818;1,811;24.8
------;Straftaten insgesamt;9562000;Erlangen;6,149;5,492;324;5.3;2;3;3,987;64.8;3,161;2,458;703;1,212;38.3
------;Straftaten insgesamt;5113000;Essen;47,666;8,174;3,075;6.5;45;33;27,582;57.9;19,232;14,264;4,968;7,534;39.2
------;Straftaten insgesamt;6412000;Frankfurt am Main;114,421;15,194;7,335;6.4;63;51;79,149;69.2;47,011;33,291;13,720;32,029;68.1
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;23,147;10,053;1,444;6.2;5;6;14,643;63.3;10,029;7,636;2,393;4,276;42.6
------;Straftaten insgesamt;9563000;Fürth;5,447;4,264;339;6.2;5;2;3,765;69.1;3,106;2,345;761;1,227;39.5
------;Straftaten insgesamt;5513000;Gelsenkirchen;21,937;8,416;1,737;7.9;25;27;11,298;51.5;9,131;6,777;2,354;3,381;37
------;Straftaten insgesamt;3159016;Göttingen;11,802;9,851;754;6.4;11;8;6,577;55.7;4,416;3,340;1,076;1,412;32
------;Straftaten insgesamt;5754008;Gütersloh;6,348;6,336;397;6.3;7;7;3,461;54.5;2,745;2,151;594;1,062;38.7
------;Straftaten insgesamt;5914000;Hagen;13,984;7,406;892;6.4;27;19;8,026;57.4;6,072;4,575;1,497;2,306;38
------;Straftaten insgesamt;15002000;Halle (Saale);27,408;11,455;3,470;12.7;14;13;13,490;49.2;8,347;6,356;1,991;2,242;26.9
------;Straftaten insgesamt;2000000;Hamburg;206,790;11,231;15,293;7.4;165;29;97,921;47.4;66,216;51,343;14,873;30,308;45.8
------;Straftaten insgesamt;5915000;Hamm;13,591;7,588;1,074;7.9;10;16;7,504;55.2;5,550;4,281;1,269;2,099;37.8
------;Straftaten insgesamt;3241001;Hannover;69,613;12,938;4,514;6.5;61;39;45,005;64.7;27,179;20,998;6,181;11,007;40.5
------;Straftaten insgesamt;8221000;Heidelberg;14,619;9,117;1,000;6.8;5;2;8,923;61;7,074;5,380;1,694;3,371;47.7
------;Straftaten insgesamt;8121000;Heilbronn;8,702;6,909;661;7.6;6;5;5,583;64.2;4,286;3,240;1,046;1,902;44.4
------;Straftaten insgesamt;5916000;Herne;13,000;8,313;927;7.1;6;25;7,196;55.4;4,895;3,726;1,169;1,650;33.7
------;Straftaten insgesamt;3254021;Hildesheim;9,610;9,422;706;7.3;16;4;5,672;59;3,720;2,756;964;1,075;28.9
------;Straftaten insgesamt;9161000;Ingolstadt;8,990;6,563;468;5.2;2;2;6,058;67.4;4,466;3,397;1,069;1,887;42.3
------;Straftaten insgesamt;16053000;Jena;7,689;6,902;652;8.5;0;0;3,902;50.7;2,466;1,880;586;550;22.3
------;Straftaten insgesamt;8212000;Karlsruhe;27,488;8,780;1,707;6.2;12;7;16,647;60.6;12,049;9,310;2,739;5,973;49.6
------;Straftaten insgesamt;6611000;Kassel;18,358;9,107;1,534;8.4;29;23;11,578;63.1;7,759;5,860;1,899;2,990;38.5
------;Straftaten insgesamt;1002000;Kiel;22,452;9,070;1,585;7.1;24;5;11,490;51.2;7,827;6,014;1,813;2,234;28.5
------;Straftaten insgesamt;7111000;Koblenz;11,466;10,056;556;4.8;10;9;6,095;53.2;4,869;3,764;1,105;1,503;30.9
------;Straftaten insgesamt;5315000;Köln;122,776;11,309;9,189;7.5;92;84;63,793;52;47,429;34,981;12,448;21,486;45.3
------;Straftaten insgesamt;5114000;Krefeld;20,570;9,061;1,353;6.6;22;18;11,729;57;8,190;5,961;2,229;2,791;34.1
------;Straftaten insgesamt;14713000;Leipzig;71,696;12,196;6,347;8.9;35;26;32,922;45.9;20,677;15,316;5,361;6,982;33.8
------;Straftaten insgesamt;5316000;Leverkusen;11,037;6,737;1,007;9.1;14;11;5,668;51.4;4,615;3,409;1,206;1,450;31.4
------;Straftaten insgesamt;1003000;Lübeck;21,768;10,022;1,301;6;20;9;12,900;59.3;8,001;6,052;1,949;1,988;24.8
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;16,220;9,482;1,054;6.5;19;6;10,202;62.9;7,318;5,369;1,949;2,994;40.9
------;Straftaten insgesamt;15003000;Magdeburg;24,584;10,299;2,687;10.9;14;16;12,799;52.1;8,281;6,229;2,052;2,035;24.6
------;Straftaten insgesamt;7315000;Mainz;17,440;8,032;953;5.5;10;7;11,028;63.2;7,688;5,824;1,864;2,965;38.6
------;Straftaten insgesamt;8222000;Mannheim;31,321;10,124;1,952;6.2;14;6;18,516;59.1;13,774;10,529;3,245;6,232;45.2
------;Straftaten insgesamt;5170024;Moers;6,309;6,082;899;14.2;7;8;2,922;46.3;2,299;1,749;550;647;28.1
------;Straftaten insgesamt;5116000;Mönchengladbach;19,542;7,474;1,492;7.6;24;20;10,398;53.2;8,060;6,085;1,975;2,755;34.2
------;Straftaten insgesamt;5117000;Mülheim an der Ruhr;9,647;5,645;763;7.9;12;12;5,306;55;4,209;3,168;1,041;1,464;34.8
------;Straftaten insgesamt;9162000;München;90,229;6,132;4,271;4.7;25;14;57,790;64;43,813;33,396;10,417;23,441;53.5
