Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;5334002;Aachen;voll.;4,334;2,672;1,662;17;13;4;12;8;4;34;21;13;29;15;14;90;45;45;182;102;80;101;49;52;188;123;65;289;172;117;391;240;151;862;514;348;291;190;101;299;196;103;590;386;204;653;401;252;847;538;309;677;390;287;431;277;154;274;166;108;3,472;2,158;1,314
------;Straftaten insgesamt;9761000;Augsburg;voll.;4,601;2,922;1,679;29;11;18;17;9;8;45;24;21;59;28;31;79;51;28;229;123;106;126;67;59;194;127;67;320;194;126;454;288;166;1,003;605;398;308;217;91;348;202;146;656;419;237;708;454;254;994;660;334;636;394;242;395;269;126;209;121;88;3,598;2,317;1,281
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,228;670;558;7;1;6;10;4;6;6;4;2;10;6;4;27;14;13;60;29;31;39;27;12;60;31;29;99;58;41;86;49;37;245;136;109;54;28;26;65;35;30;119;63;56;165;91;74;228;123;105;221;121;100;142;78;64;108;58;50;983;534;449
------;Straftaten insgesamt;11000000;Berlin;voll.;71,286;43,825;27,461;794;419;375;517;319;198;803;517;286;1,106;676;430;1,755;1,059;696;4,975;2,990;1,985;2,257;1,263;994;2,653;1,642;1,011;4,910;2,905;2,005;4,489;2,655;1,834;14,374;8,550;5,824;3,215;1,921;1,294;3,424;2,026;1,398;6,639;3,947;2,692;10,306;6,346;3,960;16,683;10,547;6,136;11,567;7,205;4,362;7,544;4,899;2,645;4,173;2,331;1,842;56,912;35,275;21,637
------;Straftaten insgesamt;5711000;Bielefeld;voll.;4,245;2,412;1,833;29;16;13;17;11;6;24;13;11;46;28;18;61;36;25;177;104;73;137;71;66;178;103;75;315;174;141;396;226;170;888;504;384;277;145;132;272;150;122;549;295;254;632;375;257;916;461;455;661;396;265;385;262;123;214;119;95;3,357;1,908;1,449
------;Straftaten insgesamt;5911000;Bochum;voll.;6,354;3,722;2,632;37;23;14;20;14;6;39;23;16;83;61;22;126;66;60;305;187;118;227;125;102;287;166;121;514;291;223;595;349;246;1,414;827;587;441;266;175;419;229;190;860;495;365;894;566;328;1,294;725;569;933;540;393;605;368;237;354;201;153;4,940;2,895;2,045
------;Straftaten insgesamt;5314000;Bonn;voll.;5,303;3,113;2,190;28;13;15;25;18;7;60;43;17;75;59;16;88;58;30;276;191;85;142;62;80;243;129;114;385;191;194;466;285;181;1,127;667;460;293;162;131;333;199;134;626;361;265;715;412;303;1,081;601;480;830;495;335;623;413;210;301;164;137;4,176;2,446;1,730
------;Straftaten insgesamt;5512000;Bottrop;voll.;1,352;732;620;11;7;4;4;1;3;10;7;3;20;9;11;39;15;24;84;39;45;64;33;31;85;50;35;149;83;66;135;84;51;368;206;162;54;28;26;90;53;37;144;81;63;164;98;66;253;122;131;186;86;100;142;87;55;95;52;43;984;526;458
------;Straftaten insgesamt;3101000;Braunschweig;voll.;4,170;2,638;1,532;46;16;30;18;7;11;27;15;12;54;33;21;73;36;37;218;107;111;120;55;65;190;108;82;310;163;147;412;275;137;940;545;395;304;208;96;267;191;76;571;399;172;671;429;242;880;567;313;546;323;223;389;270;119;173;105;68;3,230;2,093;1,137
------;Straftaten insgesamt;4011000;Bremen;voll.;10,663;6,580;4,083;72;41;31;41;23;18;50;31;19;112;70;42;161;87;74;436;252;184;275;172;103;588;412;176;863;584;279;1,047;629;418;2,346;1,465;881;728;438;290;757;493;264;1,485;931;554;1,716;1,052;664;2,199;1,309;890;1,412;911;501;936;590;346;569;322;247;8,317;5,115;3,202
