Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5334002;Aachen;voll.;3,828;2,252;1,576;23;13;10;138;75;63;161;88;73;223;122;101;359;222;137;2,809;1,645;1,164;276;175;101;3,085;1,820;1,265
------;Straftaten insgesamt;5334002;Aachen;vers.;304;182;122;1;0;1;10;9;1;11;9;2;11;5;6;33;23;10;234;138;96;15;7;8;249;145;104
------;Straftaten insgesamt;5334002;Aachen;insg.;4,132;2,434;1,698;24;13;11;148;84;64;172;97;75;234;127;107;392;245;147;3,043;1,783;1,260;291;182;109;3,334;1,965;1,369
------;Straftaten insgesamt;9761000;Augsburg;voll.;4,879;3,198;1,681;26;17;9;201;126;75;227;143;84;345;191;154;509;327;182;3,555;2,388;1,167;243;149;94;3,798;2,537;1,261
------;Straftaten insgesamt;9761000;Augsburg;vers.;480;354;126;4;2;2;12;6;6;16;8;8;35;20;15;46;40;6;368;277;91;15;9;6;383;286;97
------;Straftaten insgesamt;9761000;Augsburg;insg.;5,359;3,552;1,807;30;19;11;213;132;81;243;151;92;380;211;169;555;367;188;3,923;2,665;1,258;258;158;100;4,181;2,823;1,358
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,136;606;530;9;3;6;36;23;13;45;26;19;127;66;61;77;41;36;781;420;361;106;53;53;887;473;414
------;Straftaten insgesamt;5378004;Bergisch Gladbach;vers.;70;40;30;1;1;0;4;3;1;5;4;1;7;6;1;1;0;1;53;28;25;4;2;2;57;30;27
------;Straftaten insgesamt;5378004;Bergisch Gladbach;insg.;1,206;646;560;10;4;6;40;26;14;50;30;20;134;72;62;78;41;37;834;448;386;110;55;55;944;503;441
------;Straftaten insgesamt;11000000;Berlin;voll.;75,836;46,380;29,456;792;435;357;4,726;2,698;2,028;5,518;3,133;2,385;5,256;3,119;2,137;4,760;2,860;1,900;55,866;34,859;21,007;4,436;2,409;2,027;60,302;37,268;23,034
------;Straftaten insgesamt;11000000;Berlin;vers.;7,124;4,936;2,188;52;33;19;391;229;162;443;262;181;458;313;145;409;291;118;5,315;3,775;1,540;499;295;204;5,814;4,070;1,744
------;Straftaten insgesamt;11000000;Berlin;insg.;82,960;51,316;31,644;844;468;376;5,117;2,927;2,190;5,961;3,395;2,566;5,714;3,432;2,282;5,169;3,151;2,018;61,181;38,634;22,547;4,935;2,704;2,231;66,116;41,338;24,778
------;Straftaten insgesamt;5711000;Bielefeld;voll.;3,824;2,109;1,715;34;20;14;171;101;70;205;121;84;262;150;112;341;179;162;2,780;1,535;1,245;236;124;112;3,016;1,659;1,357
------;Straftaten insgesamt;5711000;Bielefeld;vers.;264;175;89;3;3;0;9;6;3;12;9;3;18;10;8;30;23;7;188;123;65;16;10;6;204;133;71
------;Straftaten insgesamt;5711000;Bielefeld;insg.;4,088;2,284;1,804;37;23;14;180;107;73;217;130;87;280;160;120;371;202;169;2,968;1,658;1,310;252;134;118;3,220;1,792;1,428
------;Straftaten insgesamt;5911000;Bochum;voll.;5,546;3,005;2,541;49;32;17;256;149;107;305;181;124;444;249;195;505;262;243;4,000;2,157;1,843;292;156;136;4,292;2,313;1,979
------;Straftaten insgesamt;5911000;Bochum;vers.;368;236;132;0;0;0;16;11;5;16;11;5;31;20;11;25;17;8;273;178;95;23;10;13;296;188;108
------;Straftaten insgesamt;5911000;Bochum;insg.;5,914;3,241;2,673;49;32;17;272;160;112;321;192;129;475;269;206;530;279;251;4,273;2,335;1,938;315;166;149;4,588;2,501;2,087
------;Straftaten insgesamt;5314000;Bonn;voll.;5,043;2,894;2,149;52;30;22;272;130;142;324;160;164;377;227;150;424;253;171;3,616;2,085;1,531;302;169;133;3,918;2,254;1,664
------;Straftaten insgesamt;5314000;Bonn;vers.;310;208;102;0;0;0;17;12;5;17;12;5;28;21;7;27;18;9;215;144;71;23;13;10;238;157;81
------;Straftaten insgesamt;5314000;Bonn;insg.;5,353;3,102;2,251;52;30;22;289;142;147;341;172;169;405;248;157;451;271;180;3,831;2,229;1,602;325;182;143;4,156;2,411;1,745
------;Straftaten insgesamt;5512000;Bottrop;voll.;1,480;806;674;19;9;10;95;51;44;114;60;54;140;72;68;129;80;49;1,003;545;458;94;49;45;1,097;594;503
------;Straftaten insgesamt;5512000;Bottrop;vers.;90;55;35;0;0;0;2;0;2;2;0;2;6;5;1;6;4;2;65;39;26;11;7;4;76;46;30
------;Straftaten insgesamt;5512000;Bottrop;insg.;1,570;861;709;19;9;10;97;51;46;116;60;56;146;77;69;135;84;51;1,068;584;484;105;56;49;1,173;640;533
------;Straftaten insgesamt;3101000;Braunschweig;voll.;3,765;2,278;1,487;23;11;12;238;121;117;261;132;129;275;146;129;407;251;156;2,632;1,634;998;190;115;75;2,822;1,749;1,073
------;Straftaten insgesamt;3101000;Braunschweig;vers.;230;169;61;0;0;0;2;1;1;2;1;1;11;4;7;26;17;9;179;140;39;12;7;5;191;147;44
------;Straftaten insgesamt;3101000;Braunschweig;insg.;3,995;2,447;1,548;23;11;12;240;122;118;263;133;130;286;150;136;433;268;165;2,811;1,774;1,037;202;122;80;3,013;1,896;1,117
------;Straftaten insgesamt;4011000;Bremen;voll.;9,602;5,707;3,895;67;29;38;384;177;207;451;206;245;771;434;337;888;560;328;6,928;4,196;2,732;564;311;253;7,492;4,507;2,985
------;Straftaten insgesamt;4011000;Bremen;vers.;617;422;195;4;2;2;19;6;13;23;8;15;40;22;18;45;31;14;460;334;126;49;27;22;509;361;148
