1;2;;;3;4;4a;4b;5;5a;5b;6;6a;6b;7;7a;7b;8;8a;8b;9;9a;9b;10;10a;10b;11;11a;11b;12;12a;12b;13;13a;13b;14;14a;14b;15;15a;15b;16;16a;16b;17;17a;17b;18;18a;18b;19;19a;19b;20;20a;20b;21;21a;21b;22;22a;22b;23;23a;23b;24;24a;24b
Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt männlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre männlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre männlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre männlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre männlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre männlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt männlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre männlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre männlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - männlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre männlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - männlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre männlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre männlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - männlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - männlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - männlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - männlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - männlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - männlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - männlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;5334002;Aachen;voll.;4033;2377;1656;15;6;9;7;1;6;16;10;6;30;23;7;64;38;26;132;78;54;105;67;38;178;93;85;283;160;123;427;251;176;842;489;353;317;191;126;321;197;124;638;388;250;567;318;249;771;462;309;590;354;236;389;234;155;236;132;104;3191;1888;1303
------;Straftaten insgesamt;5334002;Aachen;vers.;327;206;121;3;0;3;3;2;1;2;0;2;1;1;0;7;3;4;16;6;10;14;8;6;12;8;4;26;16;10;29;21;8;71;43;28;17;11;6;22;15;7;39;26;13;51;33;18;59;40;19;49;33;16;32;21;11;26;10;16;256;163;93
------;Straftaten insgesamt;5334002;Aachen;insg.;4360;2583;1777;18;6;12;10;3;7;18;10;8;31;24;7;71;41;30;148;84;64;119;75;44;190;101;89;309;176;133;456;272;184;913;532;381;334;202;132;343;212;131;677;414;263;618;351;267;830;502;328;639;387;252;421;255;166;262;142;120;3447;2051;1396
------;Straftaten insgesamt;9761000;Augsburg;voll.;4599;2940;1659;30;21;9;22;12;10;40;25;15;59;29;30;106;51;55;257;138;119;144;83;61;184;112;72;328;195;133;501;332;169;1086;665;421;358;251;107;355;238;117;713;489;224;709;480;229;924;594;330;613;369;244;356;249;107;198;94;104;3513;2275;1238
------;Straftaten insgesamt;9761000;Augsburg;vers.;544;410;134;3;1;2;2;1;1;3;2;1;4;4;0;6;5;1;18;13;5;15;12;3;19;14;5;34;26;8;37;28;9;89;67;22;34;27;7;39;28;11;73;55;18;120;95;25;125;93;32;74;55;19;50;38;12;13;7;6;455;343;112
------;Straftaten insgesamt;9761000;Augsburg;insg.;5143;3350;1793;33;22;11;24;13;11;43;27;16;63;33;30;112;56;56;275;151;124;159;95;64;203;126;77;362;221;141;538;360;178;1175;732;443;392;278;114;394;266;128;786;544;242;829;575;254;1049;687;362;687;424;263;406;287;119;211;101;110;3968;2618;1350
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;986;510;476;8;3;5;1;0;1;5;3;2;11;7;4;27;10;17;52;23;29;41;24;17;46;22;24;87;46;41;80;43;37;219;112;107;49;27;22;45;26;19;94;53;41;153;81;72;180;78;102;180;104;76;99;51;48;61;31;30;767;398;369
------;Straftaten insgesamt;5378004;Bergisch Gladbach;vers.;68;44;24;0;0;0;1;0;1;0;0;0;0;0;0;2;1;1;3;1;2;3;2;1;6;5;1;9;7;2;7;7;0;19;15;4;3;3;0;3;2;1;6;5;1;3;0;3;9;6;3;10;9;1;12;4;8;9;5;4;49;29;20
------;Straftaten insgesamt;5378004;Bergisch Gladbach;insg.;1054;554;500;8;3;5;2;0;2;5;3;2;11;7;4;29;11;18;55;24;31;44;26;18;52;27;25;96;53;43;87;50;37;238;127;111;52;30;22;48;28;20;100;58;42;156;81;75;189;84;105;190;113;77;111;55;56;70;36;34;816;427;389
