1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;5334002;Aachen;voll.;4,057;2,402;1,655;10;4;6;5;1;4;22;16;6;40;26;14;68;31;37;145;78;67;111;64;47;157;68;89;268;132;136;379;227;152;792;437;355;283;169;114;288;187;101;571;356;215;601;386;215;822;462;360;618;371;247;411;252;159;242;138;104;3,265;1,965;1,300
------;Straftaten insgesamt;9761000;Augsburg;voll.;4,769;3,050;1,719;43;25;18;16;12;4;37;27;10;75;43;32;99;57;42;270;164;106;126;59;67;192;106;86;318;165;153;447;294;153;1,035;623;412;345;229;116;310;235;75;655;464;191;803;553;250;989;634;355;620;365;255;424;271;153;243;140;103;3,734;2,427;1,307
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,216;646;570;4;2;2;3;1;2;13;6;7;13;3;10;26;15;11;59;27;32;58;39;19;76;45;31;134;84;50;97;62;35;290;173;117;53;32;21;56;29;27;109;61;48;166;84;82;225;112;113;191;91;100;127;67;60;108;58;50;926;473;453
------;Straftaten insgesamt;11000000;Berlin;voll.;74,153;45,011;29,142;826;454;372;507;287;220;786;471;315;1,177;711;466;1,988;1,099;889;5,284;3,022;2,262;2,544;1,418;1,126;2,697;1,538;1,159;5,241;2,956;2,285;4,752;2,830;1,922;15,277;8,808;6,469;3,316;1,901;1,415;3,586;2,151;1,435;6,902;4,052;2,850;10,381;6,360;4,021;18,544;11,712;6,832;11,124;6,824;4,300;7,686;4,923;2,763;4,239;2,332;1,907;58,876;36,203;22,673
------;Straftaten insgesamt;5711000;Bielefeld;voll.;4,219;2,282;1,937;32;23;9;13;7;6;23;16;7;41;25;16;79;48;31;188;119;69;126;72;54;175;88;87;301;160;141;412;238;174;901;517;384;267;152;115;285;150;135;552;302;250;626;329;297;837;412;425;642;338;304;412;262;150;249;122;127;3,318;1,765;1,553
------;Straftaten insgesamt;5911000;Bochum;voll.;6,380;3,789;2,591;39;19;20;25;19;6;49;30;19;127;79;48;147;80;67;387;227;160;234;125;109;267;166;101;501;291;210;553;338;215;1,441;856;585;355;204;151;430;229;201;785;433;352;917;563;354;1,333;775;558;917;536;381;636;422;214;351;204;147;4,939;2,933;2,006
------;Straftaten insgesamt;5314000;Bonn;voll.;5,330;3,129;2,201;42;23;19;24;11;13;37;21;16;62;35;27;106;73;33;271;163;108;183;112;71;219;112;107;402;224;178;441;249;192;1,114;636;478;340;196;144;323;202;121;663;398;265;822;489;333;1,082;638;444;731;427;304;629;375;254;289;166;123;4,216;2,493;1,723
------;Straftaten insgesamt;5512000;Bottrop;voll.;1,243;666;577;8;2;6;8;6;2;13;8;5;14;7;7;43;16;27;86;39;47;47;21;26;57;31;26;104;52;52;108;61;47;298;152;146;63;35;28;62;35;27;125;70;55;172;98;74;267;123;144;163;101;62;145;79;66;73;43;30;945;514;431
------;Straftaten insgesamt;3101000;Braunschweig;voll.;3,920;2,408;1,512;32;20;12;24;13;11;42;28;14;54;36;18;84;59;25;236;156;80;92;44;48;180;114;66;272;158;114;403;262;141;911;576;335;250;167;83;286;181;105;536;348;188;611;411;200;798;449;349;515;282;233;362;240;122;187;102;85;3,009;1,832;1,177
