1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5334002;Aachen;vers.;436;278;158;3;1;2;6;2;4;9;3;6;29;21;8;23;14;9;334;215;119;41;25;16;375;240;135
------;Straftaten insgesamt;5334002;Aachen;voll.;4,595;2,777;1,818;30;17;13;203;119;84;233;136;97;297;167;130;347;193;154;3,378;2,063;1,315;340;218;122;3,718;2,281;1,437
------;Straftaten insgesamt;5334002;Aachen;insg.;5,031;3,055;1,976;33;18;15;209;121;88;242;139;103;326;188;138;370;207;163;3,712;2,278;1,434;381;243;138;4,093;2,521;1,572
------;Straftaten insgesamt;9761000;Augsburg;vers.;561;364;197;3;3;0;29;19;10;32;22;10;40;26;14;41;31;10;402;263;139;46;22;24;448;285;163
------;Straftaten insgesamt;9761000;Augsburg;voll.;5,654;3,480;2,174;52;32;20;399;252;147;451;284;167;458;254;204;430;239;191;3,979;2,518;1,461;336;185;151;4,315;2,703;1,612
------;Straftaten insgesamt;9761000;Augsburg;insg.;6,215;3,844;2,371;55;35;20;428;271;157;483;306;177;498;280;218;471;270;201;4,381;2,781;1,600;382;207;175;4,763;2,988;1,775
------;Straftaten insgesamt;5378004;Bergisch Gladbach;vers.;174;101;73;2;1;1;13;9;4;15;10;5;19;16;3;8;6;2;112;56;56;20;13;7;132;69;63
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,496;850;646;20;13;7;83;44;39;103;57;46;171;108;63;91;54;37;990;551;439;141;80;61;1,131;631;500
------;Straftaten insgesamt;5378004;Bergisch Gladbach;insg.;1,670;951;719;22;14;8;96;53;43;118;67;51;190;124;66;99;60;39;1,102;607;495;161;93;68;1,263;700;563
------;Straftaten insgesamt;11000000;Berlin;vers.;8,399;5,824;2,575;70;45;25;487;358;129;557;403;154;633;460;173;449;281;168;6,163;4,307;1,856;597;373;224;6,760;4,680;2,080
