Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;5334002;Aachen;voll.;4,191;2,534;1,657;20;13;7;14;6;8;17;10;7;34;18;16;86;51;35;171;98;73;122;64;58;163;106;57;285;170;115;391;252;139;847;520;327;279;171;108;331;207;124;610;378;232;701;404;297;824;478;346;577;354;223;402;271;131;230;129;101;3,344;2,014;1,330
------;Straftaten insgesamt;9761000;Augsburg;voll.;4,475;2,797;1,678;50;31;19;35;18;17;48;27;21;79;52;27;96;56;40;308;184;124;111;50;61;238;143;95;349;193;156;414;252;162;1,071;629;442;307;192;115;314;201;113;621;393;228;750;521;229;890;573;317;558;323;235;369;236;133;216;122;94;3,404;2,168;1,236
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,168;627;541;10;8;2;5;1;4;10;5;5;10;7;3;40;18;22;75;39;36;46;29;17;77;47;30;123;76;47;86;44;42;284;159;125;70;43;27;55;31;24;125;74;51;161;65;96;202;98;104;189;106;83;134;84;50;73;41;32;884;468;416
------;Straftaten insgesamt;11000000;Berlin;voll.;71,397;43,330;28,067;815;407;408;518;291;227;840;532;308;1,205;713;492;1,941;1,084;857;5,319;3,027;2,292;2,318;1,330;988;2,763;1,611;1,152;5,081;2,941;2,140;4,608;2,760;1,848;15,008;8,728;6,280;3,079;1,832;1,247;3,194;1,935;1,259;6,273;3,767;2,506;9,792;5,884;3,908;17,713;11,169;6,544;11,119;6,939;4,180;7,326;4,601;2,725;4,166;2,242;1,924;56,389;34,602;21,787
------;Straftaten insgesamt;5711000;Bielefeld;voll.;4,113;2,218;1,895;39;26;13;19;11;8;26;16;10;52;32;20;64;38;26;200;123;77;134;61;73;171;95;76;305;156;149;368;206;162;873;485;388;278;152;126;265;126;139;543;278;265;555;295;260;895;446;449;625;354;271;431;251;180;191;109;82;3,240;1,733;1,507
------;Straftaten insgesamt;5911000;Bochum;voll.;6,297;3,684;2,613;40;23;17;20;12;8;42;27;15;82;53;29;158;81;77;342;196;146;204;107;97;273;168;105;477;275;202;584;332;252;1,403;803;600;386;218;168;366;214;152;752;432;320;928;532;396;1,287;747;540;960;584;376;637;396;241;330;190;140;4,894;2,881;2,013
------;Straftaten insgesamt;5314000;Bonn;voll.;5,344;3,097;2,247;35;18;17;20;16;4;35;25;10;72;48;24;130;82;48;292;189;103;156;92;64;229;127;102;385;219;166;486;288;198;1,163;696;467;309;198;111;326;188;138;635;386;249;745;425;320;1,060;584;476;858;473;385;588;375;213;295;158;137;4,181;2,401;1,780
------;Straftaten insgesamt;5512000;Bottrop;voll.;1,496;802;694;8;3;5;6;2;4;12;4;8;16;13;3;33;17;16;75;39;36;60;33;27;89;58;31;149;91;58;134;72;62;358;202;156;72;43;29;72;44;28;144;87;57;184;99;85;275;142;133;220;125;95;172;81;91;143;66;77;1,138;600;538
------;Straftaten insgesamt;3101000;Braunschweig;voll.;3,681;2,266;1,415;29;15;14;17;6;11;31;16;15;53;35;18;97;40;57;227;112;115;112;47;65;148;85;63;260;132;128;388;234;154;875;478;397;191;116;75;253;158;95;444;274;170;558;394;164;777;478;299;490;308;182;369;239;130;168;95;73;2,806;1,788;1,018
------;Straftaten insgesamt;4011000;Bremen;voll.;10,647;6,484;4,163;67;37;30;36;21;15;90;47;43;98;65;33;190;94;96;481;264;217;255;145;110;481;303;178;736;448;288;1,007;661;346;2,224;1,373;851;620;404;216;707;418;289;1,327;822;505;1,728;1,074;654;2,308;1,373;935;1,454;877;577;1,024;671;353;582;294;288;8,423;5,111;3,312
