Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5334002;Aachen;voll.;3,981;2,335;1,646;40;22;18;143;80;63;183;102;81;235;115;120;320;192;128;2,973;1,763;1,210;270;163;107;3,243;1,926;1,317
------;Straftaten insgesamt;5334002;Aachen;vers.;282;168;114;2;2;0;5;2;3;7;4;3;20;12;8;13;6;7;205;129;76;37;17;20;242;146;96
------;Straftaten insgesamt;5334002;Aachen;insg.;4,263;2,503;1,760;42;24;18;148;82;66;190;106;84;255;127;128;333;198;135;3,178;1,892;1,286;307;180;127;3,485;2,072;1,413
------;Straftaten insgesamt;9761000;Augsburg;voll.;4,541;2,874;1,667;44;19;25;231;141;90;275;160;115;296;166;130;431;249;182;3,303;2,163;1,140;236;136;100;3,539;2,299;1,240
------;Straftaten insgesamt;9761000;Augsburg;vers.;462;327;135;2;0;2;16;14;2;18;14;4;37;24;13;36;31;5;340;238;102;31;20;11;371;258;113
------;Straftaten insgesamt;9761000;Augsburg;insg.;5,003;3,201;1,802;46;19;27;247;155;92;293;174;119;333;190;143;467;280;187;3,643;2,401;1,242;267;156;111;3,910;2,557;1,353
------;Straftaten insgesamt;5378004;Bergisch Gladbach;voll.;1,248;636;612;17;1;16;54;23;31;71;24;47;102;46;56;94;60;34;859;439;420;122;67;55;981;506;475
------;Straftaten insgesamt;5378004;Bergisch Gladbach;vers.;91;51;40;3;0;3;2;1;1;5;1;4;10;5;5;4;0;4;64;40;24;8;5;3;72;45;27
------;Straftaten insgesamt;5378004;Bergisch Gladbach;insg.;1,339;687;652;20;1;19;56;24;32;76;25;51;112;51;61;98;60;38;923;479;444;130;72;58;1,053;551;502
------;Straftaten insgesamt;11000000;Berlin;voll.;76,830;47,237;29,593;777;416;361;4,499;2,599;1,900;5,276;3,015;2,261;5,016;2,983;2,033;4,603;2,685;1,918;57,210;35,883;21,327;4,725;2,671;2,054;61,935;38,554;23,381
