Schluessel,Straftat,Gemeindeschluessel,Stadt,Fallstatus,Oper insgesamt,Opfer maennlich,Opfer weiblich,Opfer - Kinder bis unter 6 Jahre - insgesamt,Opfer - Kinder bis unter 6 Jahre - maennlich,Opfer - Kinder bis unter 6 Jahre - weiblich,Opfer Kinder 6 bis unter 14 Jahre - insgesamt,Opfer Kinder 6 bis unter 14 Jahre - maennlich,Opfer Kinder 6 bis unter 14 Jahre - weiblich,Opfer Kinder bis 14 Jahre- insgesamt,Opfer Kinder bis 14 Jahre- maennlich,Opfer Kinder bis 14 Jahre- weiblich,Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt,Opfer Jugendliche 14 bis unter 18 Jahre - maennlich,Opfer Jugendliche 14 bis unter 18 Jahre - weiblich,Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt,Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich,Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich,Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt,Opfer Erwachsene 21 bis unter 60 Jahre - maennlich,Opfer Erwachsene 21 bis unter 60 Jahre - weiblich,Opfer - Erwachsene 60 Jahre und aelter - insgesamt,Opfer - Erwachsene 60 Jahre und aelter - maennlich,Opfer - Erwachsene 60 Jahre und aelter - weiblich,Opfer Erwachsene - insgesamt,Opfer Erwachsene - maennlich,Opfer Erwachsene - weiblich,Jahr
------,Straftaten insgesamt,5334002,Aachen,voll.,3828,2252,1576,23,13,10,138,75,63,161,88,73,223,122,101,359,222,137,2809,1645,1164,276,175,101,3085,1820,1265,2019
------,Straftaten insgesamt,5334002,Aachen,vers.,304,182,122,1,0,1,10,9,1,11,9,2,11,5,6,33,23,10,234,138,96,15,7,8,249,145,104,2019
------,Straftaten insgesamt,5334002,Aachen,insg.,4132,2434,1698,24,13,11,148,84,64,172,97,75,234,127,107,392,245,147,3043,1783,1260,291,182,109,3334,1965,1369,2019
------,Straftaten insgesamt,9761000,Augsburg,voll.,4879,3198,1681,26,17,9,201,126,75,227,143,84,345,191,154,509,327,182,3555,2388,1167,243,149,94,3798,2537,1261,2019
------,Straftaten insgesamt,9761000,Augsburg,vers.,480,354,126,4,2,2,12,6,6,16,8,8,35,20,15,46,40,6,368,277,91,15,9,6,383,286,97,2019
------,Straftaten insgesamt,9761000,Augsburg,insg.,5359,3552,1807,30,19,11,213,132,81,243,151,92,380,211,169,555,367,188,3923,2665,1258,258,158,100,4181,2823,1358,2019
------,Straftaten insgesamt,5378004,Bergisch Gladbach,voll.,1136,606,530,9,3,6,36,23,13,45,26,19,127,66,61,77,41,36,781,420,361,106,53,53,887,473,414,2019
------,Straftaten insgesamt,5378004,Bergisch Gladbach,vers.,70,40,30,1,1,0,4,3,1,5,4,1,7,6,1,1,0,1,53,28,25,4,2,2,57,30,27,2019
------,Straftaten insgesamt,5378004,Bergisch Gladbach,insg.,1206,646,560,10,4,6,40,26,14,50,30,20,134,72,62,78,41,37,834,448,386,110,55,55,944,503,441,2019
------,Straftaten insgesamt,11000000,Berlin,voll.,75836,46380,29456,792,435,357,4726,2698,2028,5518,3133,2385,5256,3119,2137,4760,2860,1900,55866,34859,21007,4436,2409,2027,60302,37268,23034,2019
