Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6 bis unter 14 Jahre - insgesamt;Opfer Kinder 6 bis unter 14 Jahre - maennlich;Opfer Kinder 6 bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich;Jahr
------;Straftaten insgesamt;5334002;Aachen;insg.;4625;2875;1750;19;15;4;169;90;79;188;105;83;310;186;124;416;256;160;3420;2149;1271;291;179;112;3711;2328;1383;2016
------;Straftaten insgesamt;9761000;Augsburg;insg.;5230;3357;1873;35;14;21;218;123;95;253;137;116;342;207;135;503;320;183;3890;2556;1334;242;137;105;4132;2693;1439;2016
------;Straftaten insgesamt;5378004;Bergisch Gladbach;insg.;1315;720;595;7;1;6;58;31;27;65;32;33;107;66;41;89;52;37;935;510;425;119;60;59;1054;570;484;2016
------;Straftaten insgesamt;11000000;Berlin;insg.;78296;48630;29666;868;452;416;4483;2758;1725;5351;3210;2141;5325;3177;2148;4828;2866;1962;58150;36759;21391;4642;2618;2024;62792;39377;23415;2016
------;Straftaten insgesamt;5711000;Bielefeld;insg.;4588;2617;1971;35;19;16;160;94;66;195;113;82;331;183;148;414;239;175;3404;1944;1460;244;138;106;3648;2082;1566;2016
------;Straftaten insgesamt;5911000;Bochum;insg.;6850;4051;2799;39;23;16;281;171;110;320;194;126;547;310;237;629;367;262;4978;2970;2008;376;210;166;5354;3180;2174;2016
------;Straftaten insgesamt;5314000;Bonn;insg.;5656;3339;2317;29;13;16;256;184;72;285;197;88;409;203;206;496;303;193;4138;2456;1682;328;180;148;4466;2636;1830;2016
------;Straftaten insgesamt;5512000;Bottrop;insg.;1445;789;656;14;9;5;80;36;44;94;45;49;156;88;68;144;91;53;950;508;442;101;57;44;1051;565;486;2016
------;Straftaten insgesamt;3101000;Braunschweig;insg.;4522;2886;1636;49;18;31;177;95;82;226;113;113;323;170;153;431;283;148;3352;2204;1148;190;116;74;3542;2320;1222;2016
------;Straftaten insgesamt;4011000;Bremen;insg.;11424;7075;4349;81;48;33;399;231;168;480;279;201;940;631;309;1108;666;442;8258;5145;3113;638;354;284;8896;5499;3397;2016
