Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,5334002,Aachen,M,"8,965",12,4,16,30,65,127,242,667,909,"1,117","2,153",684,636,"1,320","1,432","1,778","1,155",723,404,"6,812",2016
------,Straftaten insgesamt,9761000,Augsburg,M,"8,361",1,8,22,40,101,172,227,478,705,952,"1,829",647,603,"1,250","1,219","1,737","1,174",705,447,"6,532",2016
------,Straftaten insgesamt,5378004,Bergisch Gladbach,M,"2,053",0,0,5,7,32,44,86,136,222,195,461,129,106,235,269,392,359,188,149,"1,592",2016
------,Straftaten insgesamt,11000000,Berlin,M,"109,319",201,207,428,761,"1,372","2,969","2,973","4,624","7,597","8,794","19,360","6,360","6,382","12,742","17,013","25,936","17,197","10,859","6,212","89,959",2016
------,Straftaten insgesamt,5711000,Bielefeld,M,"9,176",3,2,22,42,106,175,245,562,807,"1,008","1,990",686,662,"1,348","1,490","1,965","1,267",713,403,"7,186",2016
------,Straftaten insgesamt,5911000,Bochum,M,"9,629",4,13,23,66,99,205,270,486,756,"1,029","1,990",717,629,"1,346","1,472","2,036","1,359",910,516,"7,639",2016
------,Straftaten insgesamt,5314000,Bonn,M,"8,713",1,3,12,57,101,174,278,510,788,935,"1,897",641,573,"1,214","1,346","1,816","1,197",760,483,"6,816",2016
------,Straftaten insgesamt,5512000,Bottrop,M,"2,446",0,2,3,20,31,56,108,127,235,233,524,142,171,313,342,495,413,213,146,"1,922",2016
------,Straftaten insgesamt,3101000,Braunschweig,M,"7,654",2,7,18,26,68,121,207,393,600,888,"1,609",618,595,"1,213","1,344","1,583",931,603,371,"6,045",2016
------,Straftaten insgesamt,4011000,Bremen,M,"18,281",10,11,37,64,160,282,675,"1,934","2,609","1,994","4,885","1,218","1,134","2,352","2,657","3,711","2,487","1,380",809,"13,396",2016
------,Straftaten insgesamt,4012000,Bremerhaven,M,"3,712",2,3,15,27,52,99,109,160,269,328,696,223,219,442,527,921,570,353,203,"3,016",2016
------,Straftaten insgesamt,14511000,Chemnitz,M,"8,083",100,41,43,56,94,334,233,426,659,852,"1,845",587,538,"1,125","1,438","1,865",854,570,386,"6,238",2016
------,Straftaten insgesamt,6411000,Darmstadt,M,"4,013",1,1,3,6,33,44,121,286,407,474,925,280,298,578,625,831,521,339,194,"3,088",2016
------,Straftaten insgesamt,5913000,Dortmund,M,"21,705",10,31,54,141,248,484,571,"1,241","1,812","2,511","4,807","1,701","1,642","3,343","3,662","4,528","2,886","1,600",879,"16,898",2016
------,Straftaten insgesamt,14612000,Dresden,M,"14,214",135,60,71,83,149,498,342,544,886,"1,297","2,681",867,942,"1,809","2,509","3,605","1,800","1,094",716,"11,533",2016
