Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 5 bis 9);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 11 und 12);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 10, 13 und 14);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 16 und 17);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 18 bis 23)
------;Straftaten insgesamt;5334002;Aachen;M;9368;4;2;7;44;71;128;372;702;1074;1155;2357;684;726;1410;1541;1886;1156;651;367;7011
------;Straftaten insgesamt;5334002;Aachen;W;2540;0;0;3;9;36;48;140;192;332;266;646;174;164;338;341;429;406;222;158;1894
------;Straftaten insgesamt;5334002;Aachen;X;11908;4;2;10;53;107;176;512;894;1406;1421;3003;858;890;1748;1882;2315;1562;873;525;8905
------;Straftaten insgesamt;9761000;Augsburg;M;8427;0;8;30;50;99;187;279;429;708;859;1754;640;609;1249;1257;1778;1245;725;419;6673
------;Straftaten insgesamt;9761000;Augsburg;W;2784;1;3;4;15;79;102;147;173;320;266;688;163;180;343;341;514;389;293;216;2096
------;Straftaten insgesamt;9761000;Augsburg;X;11211;1;11;34;65;178;289;426;602;1028;1125;2442;803;789;1592;1598;2292;1634;1018;635;8769
------;Straftaten insgesamt;5378004;Bergisch Gladbach;M;1956;0;1;6;17;24;48;65;103;168;206;422;114;102;216;264;376;330;203;145;1534
------;Straftaten insgesamt;5378004;Bergisch Gladbach;W;659;0;0;0;0;9;9;38;47;85;48;142;32;34;66;76;115;132;83;45;517
------;Straftaten insgesamt;5378004;Bergisch Gladbach;X;2615;0;1;6;17;33;57;103;150;253;254;564;146;136;282;340;491;462;286;190;2051
------;Straftaten insgesamt;11000000;Berlin;M;104759;76;161;405;762;1426;2830;2505;3880;6385;7954;17169;5887;6618;12505;15920;24707;17464;10625;6369;87590
------;Straftaten insgesamt;11000000;Berlin;W;39357;57;52;110;249;796;1264;1608;1651;3259;3130;7653;2295;2559;4854;5822;8151;6037;3832;3008;31704
------;Straftaten insgesamt;11000000;Berlin;X;144116;133;213;515;1011;2222;4094;4113;5531;9644;11084;24822;8182;9177;17359;21742;32858;23501;14457;9377;119294
------;Straftaten insgesamt;5711000;Bielefeld;M;8433;6;1;14;36;80;137;219;472;691;798;1626;606;577;1183;1319;1892;1288;684;441;6807
------;Straftaten insgesamt;5711000;Bielefeld;W;2632;4;4;9;7;35;59;171;183;354;221;634;157;150;307;355;494;434;259;149;1998
------;Straftaten insgesamt;5711000;Bielefeld;X;11065;10;5;23;43;115;196;390;655;1045;1019;2260;763;727;1490;1674;2386;1722;943;590;8805
------;Straftaten insgesamt;5911000;Bochum;M;9383;1;13;25;60;132;231;200;439;639;908;1778;663;684;1347;1393;1967;1506;870;522;7605
------;Straftaten insgesamt;5911000;Bochum;W;3072;3;3;8;16;60;90;129;151;280;296;666;198;198;396;363;577;514;308;248;2406
------;Straftaten insgesamt;5911000;Bochum;X;12455;4;16;33;76;192;321;329;590;919;1204;2444;861;882;1743;1756;2544;2020;1178;770;10011
------;Straftaten insgesamt;5314000;Bonn;M;8255;0;11;19;63;125;218;276;449;725;810;1753;587;538;1125;1138;1722;1307;755;455;6502
------;Straftaten insgesamt;5314000;Bonn;W;2871;1;1;2;10;77;91;191;198;389;252;732;178;169;347;343;520;445;273;211;2139
------;Straftaten insgesamt;5314000;Bonn;X;11126;1;12;21;73;202;309;467;647;1114;1062;2485;765;707;1472;1481;2242;1752;1028;666;8641
------;Straftaten insgesamt;5512000;Bottrop;M;2450;0;2;8;12;36;58;84;96;180;204;442;165;180;345;348;540;425;195;155;2008
------;Straftaten insgesamt;5512000;Bottrop;W;864;0;1;2;3;26;32;46;35;81;83;196;49;62;111;94;191;126;77;69;668
------;Straftaten insgesamt;5512000;Bottrop;X;3314;0;3;10;15;62;90;130;131;261;287;638;214;242;456;442;731;551;272;224;2676
------;Straftaten insgesamt;3101000;Braunschweig;M;8070;10;4;11;33;72;130;210;406;616;936;1682;640;619;1259;1259;1707;1109;638;416;6388
------;Straftaten insgesamt;3101000;Braunschweig;W;2489;7;3;8;19;64;101;155;166;321;254;676;161;157;318;298;436;336;247;178;1813
------;Straftaten insgesamt;3101000;Braunschweig;X;10559;17;7;19;52;136;231;365;572;937;1190;2358;801;776;1577;1557;2143;1445;885;594;8201
------;Straftaten insgesamt;4011000;Bremen;M;15826;13;15;30;86;153;297;461;979;1440;1602;3339;1149;1160;2309;2346;3425;2366;1257;784;12487
------;Straftaten insgesamt;4011000;Bremen;W;4817;6;6;9;27;116;164;277;364;641;455;1260;318;320;638;604;917;686;417;295;3557
------;Straftaten insgesamt;4011000;Bremen;X;20643;19;21;39;113;269;461;738;1343;2081;2057;4599;1467;1480;2947;2950;4342;3052;1674;1079;16044
------;Straftaten insgesamt;4012000;Bremerhaven;M;3273;7;8;15;28;42;100;96;131;227;307;634;243;195;438;504;682;536;302;177;2639
------;Straftaten insgesamt;4012000;Bremerhaven;W;1052;0;1;4;7;24;36;57;35;92;96;224;82;59;141;139;173;174;128;73;828
------;Straftaten insgesamt;4012000;Bremerhaven;X;4325;7;9;19;35;66;136;153;166;319;403;858;325;254;579;643;855;710;430;250;3467
------;Straftaten insgesamt;14511000;Chemnitz;M;7548;72;39;51;60;104;326;203;259;462;660;1448;463;547;1010;1382;1812;969;556;371;6100
------;Straftaten insgesamt;14511000;Chemnitz;W;2714;81;19;23;31;70;224;106;123;229;196;649;131;173;304;411;603;323;234;190;2065
------;Straftaten insgesamt;14511000;Chemnitz;X;10262;153;58;74;91;174;550;309;382;691;856;2097;594;720;1314;1793;2415;1292;790;561;8165
------;Straftaten insgesamt;6411000;Darmstadt;M;3801;0;2;9;10;33;54;115;238;353;425;832;270;260;530;521;781;589;352;196;2969
------;Straftaten insgesamt;6411000;Darmstadt;W;1328;0;1;1;3;37;42;86;99;185;139;366;71;64;135;165;246;197;125;94;962
------;Straftaten insgesamt;6411000;Darmstadt;X;5129;0;3;10;13;70;96;201;337;538;564;1198;341;324;665;686;1027;786;477;290;3931
------;Straftaten insgesamt;5913000;Dortmund;M;21275;13;16;77;138;290;534;620;1255;1875;2391;4800;1590;1594;3184;3303;4526;3017;1553;892;16475
------;Straftaten insgesamt;5913000;Dortmund;W;6473;9;7;19;47;158;240;416;447;863;651;1754;455;410;865;877;1209;869;492;407;4719
------;Straftaten insgesamt;5913000;Dortmund;X;27748;22;23;96;185;448;774;1036;1702;2738;3042;6554;2045;2004;4049;4180;5735;3886;2045;1299;21194
------;Straftaten insgesamt;14612000;Dresden;M;13111;4;15;31;65;143;258;297;464;761;984;2003;755;924;1679;2365;3238;1913;1152;761;11108
------;Straftaten insgesamt;14612000;Dresden;W;5184;1;2;16;28;75;122;213;202;415;306;843;265;359;624;869;1119;710;534;485;4341
------;Straftaten insgesamt;14612000;Dresden;X;18295;5;17;47;93;218;380;510;666;1176;1290;2846;1020;1283;2303;3234;4357;2623;1686;1246;15449
------;Straftaten insgesamt;5112000;Duisburg;M;14208;7;35;72;116;248;478;449;580;1029;1342;2849;1007;966;1973;2102;3182;2248;1219;635;11359
------;Straftaten insgesamt;5112000;Duisburg;W;4991;4;7;27;47;111;196;213;269;482;504;1182;381;340;721;690;989;719;391;299;3809
------;Straftaten insgesamt;5112000;Duisburg;X;19199;11;42;99;163;359;674;662;849;1511;1846;4031;1388;1306;2694;2792;4171;2967;1610;934;15168
------;Straftaten insgesamt;5111000;Düsseldorf;M;20417;11;8;36;90;184;329;437;828;1265;1926;3520;1438;1454;2892;3165;4663;3252;1763;1162;16897
------;Straftaten insgesamt;5111000;Düsseldorf;W;6721;4;7;9;34;143;197;344;399;743;651;1591;417;400;817;863;1229;964;680;577;5130
------;Straftaten insgesamt;5111000;Düsseldorf;X;27138;15;15;45;124;327;526;781;1227;2008;2577;5111;1855;1854;3709;4028;5892;4216;2443;1739;22027
------;Straftaten insgesamt;16051000;Erfurt;M;6326;4;14;26;62;106;212;170;245;415;448;1075;356;465;821;1098;1518;870;526;418;5251
------;Straftaten insgesamt;16051000;Erfurt;W;2524;4;4;13;28;56;105;138;121;259;213;577;164;166;330;383;514;290;227;203;1947
------;Straftaten insgesamt;16051000;Erfurt;X;8850;8;18;39;90;162;317;308;366;674;661;1652;520;631;1151;1481;2032;1160;753;621;7198
------;Straftaten insgesamt;9562000;Erlangen;M;2442;1;4;9;15;24;53;83;126;209;301;563;188;189;377;362;463;361;201;115;1879
------;Straftaten insgesamt;9562000;Erlangen;W;750;1;1;1;4;24;31;56;52;108;63;202;46;37;83;100;115;117;73;60;548
------;Straftaten insgesamt;9562000;Erlangen;X;3192;2;5;10;19;48;84;139;178;317;364;765;234;226;460;462;578;478;274;175;2427
------;Straftaten insgesamt;5113000;Essen;M;15096;1;3;25;88;230;347;510;718;1228;1469;3044;1123;1063;2186;2244;3216;2394;1264;748;12052
------;Straftaten insgesamt;5113000;Essen;W;5668;3;2;9;26;146;186;379;365;744;567;1497;352;320;672;781;1104;768;489;357;4171
------;Straftaten insgesamt;5113000;Essen;X;20764;4;5;34;114;376;533;889;1083;1972;2036;4541;1475;1383;2858;3025;4320;3162;1753;1105;16223
------;Straftaten insgesamt;6412000;Frankfurt am Main;M;35626;97;34;63;89;204;487;704;1696;2400;3044;5931;2282;2508;4790;5835;8726;5663;2891;1790;29695
------;Straftaten insgesamt;6412000;Frankfurt am Main;W;13619;81;29;35;39;140;324;451;632;1083;1095;2502;838;827;1665;1953;2870;2000;1382;1247;11117
------;Straftaten insgesamt;6412000;Frankfurt am Main;X;49245;178;63;98;128;344;811;1155;2328;3483;4139;8433;3120;3335;6455;7788;11596;7663;4273;3037;40812
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;M;7643;3;10;22;36;95;166;246;580;826;878;1870;595;577;1172;1124;1467;990;645;375;5773
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;W;2433;2;3;8;24;71;108;181;197;378;279;765;155;144;299;295;399;309;209;157;1668
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;X;10076;5;13;30;60;166;274;427;777;1204;1157;2635;750;721;1471;1419;1866;1299;854;532;7441
------;Straftaten insgesamt;9563000;Fürth;M;2522;0;1;14;25;55;95;81;115;196;265;556;148;157;305;383;533;412;202;131;1966
------;Straftaten insgesamt;9563000;Fürth;W;858;0;1;2;6;16;25;44;57;101;72;198;47;47;94;100;159;138;92;77;660
------;Straftaten insgesamt;9563000;Fürth;X;3380;0;2;16;31;71;120;125;172;297;337;754;195;204;399;483;692;550;294;208;2626
------;Straftaten insgesamt;5513000;Gelsenkirchen;M;7018;6;7;34;67;154;268;251;316;567;659;1494;477;437;914;967;1485;1220;609;329;5524
------;Straftaten insgesamt;5513000;Gelsenkirchen;W;2535;0;5;11;27;94;137;137;143;280;251;668;155;157;312;297;507;367;233;151;1867
