1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
------;Straftaten insgesamt;5334002;Aachen;M;9,248;26;6;9;43;115;199;318;575;893;813;1,905;611;638;1,249;1,540;2,094;1,231;750;479;7,343
------;Straftaten insgesamt;5334002;Aachen;W;2,524;20;3;9;25;91;148;179;199;378;223;749;111;105;216;293;490;367;244;165;1,775
------;Straftaten insgesamt;5334002;Aachen;X;11,772;46;9;18;68;206;347;497;774;1,271;1,036;2,654;722;743;1,465;1,833;2,584;1,598;994;644;9,118
------;Straftaten insgesamt;9761000;Augsburg;M;8,130;2;11;27;86;176;302;332;385;717;813;1,832;605;556;1,161;1,132;1,731;1,076;698;500;6,298
------;Straftaten insgesamt;9761000;Augsburg;W;2,547;1;0;8;32;111;152;194;160;354;216;722;133;108;241;247;516;369;243;209;1,825
------;Straftaten insgesamt;9761000;Augsburg;X;10,677;3;11;35;118;287;454;526;545;1,071;1,029;2,554;738;664;1,402;1,379;2,247;1,445;941;709;8,123
------;Straftaten insgesamt;5378004;Bergisch Gladbach;M;1,850;0;0;2;13;48;63;97;109;206;137;406;72;92;164;192;391;287;232;178;1,444
------;Straftaten insgesamt;5378004;Bergisch Gladbach;W;613;0;1;1;2;14;18;29;34;63;35;116;21;25;46;57;120;103;92;79;497
------;Straftaten insgesamt;5378004;Bergisch Gladbach;X;2,463;0;1;3;15;62;81;126;143;269;172;522;93;117;210;249;511;390;324;257;1,941
------;Straftaten insgesamt;11000000;Berlin;M;100,916;35;146;446;956;1,934;3,517;3,354;3,913;7,267;6,709;17,493;5,362;5,496;10,858;13,462;25,699;16,648;10,355;6,401;83,423
------;Straftaten insgesamt;11000000;Berlin;W;35,654;12;38;103;328;1,009;1,490;1,815;1,596;3,411;2,406;7,307;1,738;1,737;3,475;4,163;8,349;5,549;3,826;2,985;28,347
