Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
------;Straftaten insgesamt;5334002;Aachen;M;10,065;15;15;25;48;119;222;349;599;948;927;2,097;646;706;1,352;1,572;2,374;1,377;801;492;7,968
------;Straftaten insgesamt;5334002;Aachen;W;2,749;16;5;10;28;96;155;224;213;437;277;869;120;108;228;265;550;385;264;188;1,880
------;Straftaten insgesamt;5334002;Aachen;X;12,814;31;20;35;76;215;377;573;812;1,385;1,204;2,966;766;814;1,580;1,837;2,924;1,762;1,065;680;9,848
------;Straftaten insgesamt;9761000;Augsburg;M;8,910;0;14;39;93;179;325;371;464;835;894;2,054;646;665;1,311;1,268;1,808;1,217;754;498;6,856
------;Straftaten insgesamt;9761000;Augsburg;W;3,040;2;3;8;42;126;181;284;195;479;219;879;152;132;284;300;640;443;280;214;2,161
------;Straftaten insgesamt;9761000;Augsburg;X;11,950;2;17;47;135;305;506;655;659;1,314;1,113;2,933;798;797;1,595;1,568;2,448;1,660;1,034;712;9,017
------;Straftaten insgesamt;5378004;Bergisch Gladbach;M;1,978;3;4;9;17;44;77;85;114;199;150;426;83;83;166;187;390;354;235;220;1,552
------;Straftaten insgesamt;5378004;Bergisch Gladbach;W;711;0;0;2;10;25;37;44;29;73;43;153;23;27;50;60;145;128;85;90;558
------;Straftaten insgesamt;5378004;Bergisch Gladbach;X;2,689;3;4;11;27;69;114;129;143;272;193;579;106;110;216;247;535;482;320;310;2,110
------;Straftaten insgesamt;11000000;Berlin;M;104,586;39;141;420;898;2,052;3,550;3,590;4,145;7,735;7,265;18,550;5,525;5,771;11,296;14,115;26,045;17,185;10,574;6,821;86,036
------;Straftaten insgesamt;11000000;Berlin;W;36,033;11;40;105;350;1,144;1,650;1,866;1,441;3,307;2,340;7,297;1,720;1,712;3,432;4,224;8,402;5,710;3,762;3,206;28,736
